Geography,Age group,2012
"Abbotsford-Mission, British Columbia",All ages,1238
"Barrie, Ontario",All ages,1297
"Brantford, Ontario",All ages,1298
"Calgary, Alberta",All ages,6131
"Edmonton, Alberta",All ages,7246
"Greater Sudbury, Ontario",All ages,1499
"Guelph, Ontario",All ages,1026
"Halifax, Nova Scotia",All ages,2883
"Hamilton, Ontario",All ages,6049
"Kelowna, British Columbia",All ages,1589
"Kingston, Ontario",All ages,1440
"Kitchener-Cambridge-Waterloo, Ontario",All ages,3192
"London, Ontario",All ages,3708
"Moncton, New Brunswick",All ages,1017
"Montreal, Quebec",All ages,27279
"Oshawa, Ontario",All ages,2334
"Ottawa-Gatineau, Ontario/Quebec",All ages,7907
"Peterborough, Ontario",All ages,1163
"Quebec, Quebec",All ages,5769
"Regina, Saskatchewan",All ages,1743
"Saguenay, Quebec",All ages,1420
"Saint John, New Brunswick",All ages,1050
"Saskatoon, Saskatchewan",All ages,1846
"Sherbrooke, Quebec",All ages,1538
"St. Catharines-Niagara, Ontario",All ages,4043
"St. John's, Newfoundland and Labrador",All ages,1484
"Thunder Bay, Ontario",All ages,1234
"Toronto, Ontario",All ages,30359
"Trois-Rivieres, Quebec",All ages,1426
"Vancouver, British Columbia",All ages,13978
"Victoria, British Columbia",All ages,3138
"Windsor, Ontario",All ages,2521
"Winnipeg, Manitoba",All ages,6065
