Geography,Age group,2011
"Abbotsford-Mission, British Columbia",All ages,1203
"Barrie, Ontario",All ages,1176
"Brantford, Ontario",All ages,1202
"Calgary, Alberta",All ages,5634
"Edmonton, Alberta",All ages,6739
"Greater Sudbury, Ontario",All ages,1402
"Guelph, Ontario",All ages,896
"Halifax, Nova Scotia",All ages,2727
"Hamilton, Ontario",All ages,5760
"Kelowna, British Columbia",All ages,1593
"Kingston, Ontario",All ages,1368
"Kitchener-Cambridge-Waterloo, Ontario",All ages,2998
"London, Ontario",All ages,3630
"Moncton, New Brunswick",All ages,960
"Montreal, Quebec",All ages,26081
"Oshawa, Ontario",All ages,2249
"Ottawa-Gatineau, Ontario/Quebec",All ages,7355
"Peterborough, Ontario",All ages,1155
"Quebec, Quebec",All ages,5565
"Regina, Saskatchewan",All ages,1651
"Saguenay, Quebec",All ages,1290
"Saint John, New Brunswick",All ages,1116
"Saskatoon, Saskatchewan",All ages,1757
"Sherbrooke, Quebec",All ages,1515
"St. Catharines-Niagara, Ontario",All ages,3785
"St. John's, Newfoundland and Labrador",All ages,1429
"Thunder Bay, Ontario",All ages,1239
"Toronto, Ontario",All ages,28727
"Trois-Rivieres, Quebec",All ages,1313
"Vancouver, British Columbia",All ages,13811
"Victoria, British Columbia",All ages,3170
"Windsor, Ontario",All ages,2449
"Winnipeg, Manitoba",All ages,5885
