Geography,Age group,Population
,25 to 29 years,"14,981"
,30 to 34 years,"12,206"
,35 to 39 years,"10,791"
,40 to 44 years,"9,928"
,45 to 49 years,"10,774"
,50 to 54 years,"13,085"
,55 to 59 years,"12,369"
,60 to 64 years,"11,009"
,65 to 69 years,"9,997"
,70 to 74 years,"7,333"
,75 to 79 years,"5,455"
,80 to 84 years,"4,172"
,85 to 89 years,"2,733"
,90 years and over,"1,571"
"Peterborough, Ontario",All ages,"124,724"
,0 to 4 years,"5,926"
,5 to 9 years,"5,811"
,10 to 14 years,"5,505"
,15 to 19 years,"6,658"
,20 to 24 years,"8,782"
,25 to 29 years,"9,446"
,30 to 34 years,"7,734"
,35 to 39 years,"6,488"
,40 to 44 years,"6,391"
,45 to 49 years,"7,291"
,50 to 54 years,"9,155"
,55 to 59 years,"9,661"
,60 to 64 years,"9,058"
,65 to 69 years,"8,181"
,70 to 74 years,"6,126"
,75 to 79 years,"4,548"
,80 to 84 years,"3,727"
,85 to 89 years,"2,614"
,90 years and over,"1,622"
"Oshawa, Ontario",All ages,"395,238"
,0 to 4 years,"21,657"
,5 to 9 years,"23,232"
,10 to 14 years,"23,471"
,15 to 19 years,"25,391"
,20 to 24 years,"28,157"
,25 to 29 years,"25,918"
,30 to 34 years,"25,372"
,35 to 39 years,"26,264"
,40 to 44 years,"27,681"
,45 to 49 years,"28,174"
,50 to 54 years,"32,401"
,55 to 59 years,"28,595"
,60 to 64 years,"22,402"
,65 to 69 years,"18,747"
,70 to 74 years,"13,697"
,75 to 79 years,"9,562"
,80 to 84 years,"7,111"
,85 to 89 years,"4,680"
,90 years and over,"2,726"
"Toronto, Ontario",All ages,"6,223,998"
,0 to 4 years,"327,240"
,5 to 9 years,"336,600"
,10 to 14 years,"333,968"
,15 to 19 years,"378,520"
,20 to 24 years,"457,500"
,25 to 29 years,"463,591"
,30 to 34 years,"467,214"
,35 to 39 years,"448,406"
,40 to 44 years,"438,062"
,45 to 49 years,"450,209"
,50 to 54 years,"470,970"
,55 to 59 years,"422,178"
,60 to 64 years,"343,941"
,65 to 69 years,"288,698"
,70 to 74 years,"202,968"
,75 to 79 years,"156,504"
,80 to 84 years,"115,611"
,85 to 89 years,"75,698"
,90 years and over,"46,120"
"Hamilton, Ontario",All ages,"777,860"
,0 to 4 years,"39,042"
,5 to 9 years,"40,972"
,10 to 14 years,"41,423"
,15 to 19 years,"45,965"
,20 to 24 years,"55,366"
,25 to 29 years,"54,128"
,30 to 34 years,"51,030"
,35 to 39 years,"49,274"
,40 to 44 years,"49,384"
,45 to 49 years,"52,617"
,50 to 54 years,"59,336"
,55 to 59 years,"56,535"
,60 to 64 years,"48,035"
,65 to 69 years,"41,920"
,70 to 74 years,"31,175"
,75 to 79 years,"23,592"
,80 to 84 years,"18,115"
,85 to 89 years,"12,583"
,90 years and over,"7,368"
"St. Catharines-Niagara, Ontario",All ages,"412,138"
,0 to 4 years,"18,293"
,5 to 9 years,"19,490"
,10 to 14 years,"20,170"
,15 to 19 years,"23,364"
,20 to 24 years,"27,922"
,25 to 29 years,"25,634"
,30 to 34 years,"23,072"
,35 to 39 years,"21,958"
,40 to 44 years,"22,819"
,45 to 49 years,"26,614"
,50 to 54 years,"32,901"
,55 to 59 years,"32,157"
,60 to 64 years,"29,441"
,65 to 69 years,"26,950"
,70 to 74 years,"20,811"
,75 to 79 years,"15,430"
