,CMA,"Cities pop>2,000",,,,,,
,"Montreal, Quebec",Saint-Basile-le-Grand,,,,,,
,"Montreal, Quebec",Saint-Bruno-de-Montarville,,,,,,
,"Montreal, Quebec",Saint-Colomban,,,,,,
,"Montreal, Quebec",Saint-Constant,,,,,,
,"Montreal, Quebec",Sainte-Anne-de-Believue,,,,,,
,"Montreal, Quebec",Sainte-Catherine,,,,,,
,"Montreal, Quebec",Sainte-Dulie,,,,,,
,"Montreal, Quebec",Sainte-Marthe-sur-le-Lac,,,,,,
,"Montreal, Quebec",Sainte-Therese,,,,,,
,"Montreal, Quebec",Saint-Eustache,,,,,,
,"Montreal, Quebec",Saint-Jean-sur-Richelieu,,,,,,
,"Montreal, Quebec",Saint-Jerome,,,,,,
,"Montreal, Quebec",Saint-Lambert,,,,,,
,"Montreal, Quebec",Saint-Lazare,,,,,,
,"Montreal, Quebec",Saint-lin-Laurentides,,,,,,
,"Montreal, Quebec",Terrebonne,,,,,,
,"Montreal, Quebec",Varennes,,,,,,
,"Montreal, Quebec",Vaudreuil-Dorion,,,,,,
,"Montreal, Quebec",Westmount,,,,,,
15,"Oshawa, Ontario",Oshawa,,,,,,
,"Oshawa, Ontario",Brooklin,,,,,,
,"Oshawa, Ontario",Whitby,,,,,,
,"Oshawa, Ontario",Courtice,,,,,,
,"Oshawa, Ontario",Bowmanville,,,,,,
,"Oshawa, Ontario",Newcastle,,,,,,
,"Oshawa, Ontario",Clarington,,,,,,
16,"Ottawa-Gatineau, Ontario/Quebec",Ottawa,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",Gatineau,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",L'Ange-Gardien,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",Pontiac,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",Chelsea,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",La Peche,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",Clarence-Rockland,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",North Grenville,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",Russell,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",Val-des-Monts,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",Cantley,,,,,,
,"Ottawa-Gatineau, Ontario/Quebec",Thurso,,,,,,
17,"Peterborough, Ontario",Peterborough,,,,,,
,"Peterborough, Ontario",Selwyn,,,,,,
,"Peterborough, Ontario",Cavan-Monaghan,,,,,,
,"Peterborough, Ontario",Otonabee-South Monaghan,,,,,,
,"Peterborough, Ontario",Douro-Dummer,,,,,,
18,"Quebec, Quebec",Québec,,,,,,
,"Quebec, Quebec", Lévis,,,,,,
,"Quebec, Quebec",Saint-Augustin-de-Desmaures,,,,,,
,"Quebec, Quebec",L'Ancienne-Lorette,,,,,,
,"Quebec, Quebec",Stoneham-et-Tewkesbury,,,,,,
,"Quebec, Quebec",Lac-Beauport,,,,,,
,"Quebec, Quebec",Sainte-Catherine-de-la-Jacques-Cartier,,,,,,
,"Quebec, Quebec",Boischatel,,,,,,
,"Quebec, Quebec",Sainte-Brigitte-de-Laval,,,,,,
,"Quebec, Quebec",Saint-Lambert-de-Lauzon,,,,,,
,"Quebec, Quebec",Shannon,,,,,,
,"Quebec, Quebec",Saint-Henri,,,,,,
,"Quebec, Quebec",Neuville,,,,,,
,"Quebec, Quebec",Château-Richer,,,,,,
,"Quebec, Quebec",L'Ange-Gardien,,,,,,
,"Quebec, Quebec",Saint-Gabriel-de-Valcartier,,,,,,
,"Quebec, Quebec",Beaumont,,,,,,
,"Quebec, Quebec",Wendake,,,,,,
19,"Regina, Saskatchewan",Regina,,,,,,
,"Regina, Saskatchewan",Edenwold,,,,,,
,"Regina, Saskatchewan",White City,,,,,,
,"Regina, Saskatchewan",Pilot Butte,,,,,,
20,"Saguenay, Quebec",Saint-Honore,,,,,,
,"Saguenay, Quebec",Saint-David-de-Falardeau,,,,,,
,"Saguenay, Quebec",Saint-Fulgence,,,,,,
,"Saguenay, Quebec",Saguenay,,,,,,
21,"Saint John, New Brunswick",Saint John,,,,,,
,"Saint John, New Brunswick",Quispamsis,,,,,,
,"Saint John, New Brunswick",Rothesay,,,,,,
