Geo Code,Geo Name,Line Number
421003301,33.01,3676
421003302,33.02,3687
421003400,34,3698
421003500,35,3709
421003600,36,3720
421003700,37,3731
421003801,38.01,3742
421003802,38.02,3753
421003901,39.01,3764
421003902,39.02,3775
421004001,40.01,3786
421004003,40.03,3797
421004004,40.04,3808
421004102,41.02,3819
421004103,41.03,3830
421004104,41.04,3841
421004105,41.05,3852
421004106,41.06,3863
421004107,41.07,3874
421004108,41.08,3885
421004109,41.09,3896
421010000,100,3907
421010100,101,3918
421010200,102,3929
421010300,103,3940
421011000,110,3951
421011100,111,3962
421011201,112.01,3973
421011202,112.02,3984
421011301,113.01,3995
421011302,113.02,4006
421011400,114,4017
421011500,115,4028
421011600,116,4039
421011701,117.01,4050
421011702,117.02,4061
421011800,118,4072
421011902,119.02,4083
421011903,119.03,4094
421011904,119.04,4105
421012001,120.01,4116
421012002,120.02,4127
421012003,120.03,4138
421014001,140.01,4149
421014002,140.02,4160
421014003,140.03,4171
421016001,160.01,4182
421016003,160.03,4193
421016004,160.04,4204
421016005,160.05,4215
421017003,170.03,4226
421017004,170.04,4237
421017005,170.05,4248
421017006,170.06,4259
421017007,170.07,4270
421019000,190,4281
421020000,200,4292
421021001,210.01,4303
421021002,210.02,4314
421022001,220.01,4325
421022002,220.02,4336
421023001,230.01,4347
421023002,230.02,4358
421024001,240.01,4369
421024002,240.02,4380
421026001,260.01,4391
421026002,260.02,4402
421026003,260.03,4413
421027001,270.01,4424
421027003,270.03,4435
421027004,270.04,4446
421027101,271.01,4457
421027102,271.02,4468
421027200,272,4479
421027301,273.01,4490
421027302,273.02,4501
421027303,273.03,4512
421027304,273.04,4523
421028001,280.01,4534
421028002,280.02,4545
421028003,280.03,4556
421029001,290.01,4567
421029003,290.03,4578
421029004,290.04,4589
421030000,300,4600
421031000,310,4611
421031101,311.01,4622
421031102,311.02,4633
421032001,320.01,4644
421032002,320.02,4655
421032003,320.03,4666
421032004,320.04,4677
421032005,320.05,4688
421032007,320.07,4699
421032008,320.08,4710
421033000,330,4721
421034001,340.01,4732
421034002,340.02,4743
421034003,340.03,4754
421036001,360.01,4765
421036002,360.02,4776
421037000,370,4787
421050000,500,4798
421051000,510,4809
421052000,520,4820
421053000,530,4831
421054000,540,4842
421060003,600.03,4853
421060004,600.04,4864
421060005,600.05,4875
421060006,600.06,4886
421060500,605,4897
421061000,610,4908
421070000,700,4919
421080001,800.01,4930
