Geography,Age group,2014
"Abbotsford-Mission, British Columbia",0 to 4 years,12.0
"Abbotsford-Mission, British Columbia",10 to 14 years,1.0
"Abbotsford-Mission, British Columbia",15 to 19 years,3.0
"Abbotsford-Mission, British Columbia",20 to 24 years,6.0
"Abbotsford-Mission, British Columbia",25 to 29 years,10.0
"Abbotsford-Mission, British Columbia",30 to 34 years,11.0
"Abbotsford-Mission, British Columbia",35 to 39 years,8.0
"Abbotsford-Mission, British Columbia",40 to 44 years,13.0
"Abbotsford-Mission, British Columbia",45 to 49 years,21.0
"Abbotsford-Mission, British Columbia",5 to 9 years,1.0
"Abbotsford-Mission, British Columbia",50 to 54 years,36.0
"Abbotsford-Mission, British Columbia",55 to 59 years,63.0
"Abbotsford-Mission, British Columbia",60 to 64 years,67.0
"Abbotsford-Mission, British Columbia",65 to 69 years,107.0
"Abbotsford-Mission, British Columbia",70 to 74 years,121.0
"Abbotsford-Mission, British Columbia",75 to 79 years,144.0
"Abbotsford-Mission, British Columbia",80 to 84 years,199.0
"Abbotsford-Mission, British Columbia",85 to 89 years,203.0
"Abbotsford-Mission, British Columbia",90 years and over,202.0
"Abbotsford-Mission, British Columbia",All ages,1228.0
"Barrie, Ontario",0 to 4 years,12.0
"Barrie, Ontario",10 to 14 years,0.0
"Barrie, Ontario",15 to 19 years,0.0
"Barrie, Ontario",20 to 24 years,4.0
"Barrie, Ontario",25 to 29 years,7.0
"Barrie, Ontario",30 to 34 years,5.0
"Barrie, Ontario",35 to 39 years,6.0
"Barrie, Ontario",40 to 44 years,19.0
"Barrie, Ontario",45 to 49 years,33.0
"Barrie, Ontario",5 to 9 years,2.0
"Barrie, Ontario",50 to 54 years,71.0
"Barrie, Ontario",55 to 59 years,80.0
"Barrie, Ontario",60 to 64 years,84.0
"Barrie, Ontario",65 to 69 years,101.0
"Barrie, Ontario",70 to 74 years,116.0
"Barrie, Ontario",75 to 79 years,174.0
"Barrie, Ontario",80 to 84 years,224.0
"Barrie, Ontario",85 to 89 years,197.0
"Barrie, Ontario",90 years and over,258.0
"Barrie, Ontario",All ages,1393.0
"Brantford, Ontario",0 to 4 years,6.0
"Brantford, Ontario",10 to 14 years,2.0
"Brantford, Ontario",15 to 19 years,3.0
"Brantford, Ontario",20 to 24 years,1.0
"Brantford, Ontario",25 to 29 years,6.0
"Brantford, Ontario",30 to 34 years,11.0
"Brantford, Ontario",35 to 39 years,14.0
"Brantford, Ontario",40 to 44 years,18.0
"Brantford, Ontario",45 to 49 years,17.0
"Brantford, Ontario",5 to 9 years,1.0
"Brantford, Ontario",50 to 54 years,47.0
"Brantford, Ontario",55 to 59 years,62.0
"Brantford, Ontario",60 to 64 years,90.0
"Brantford, Ontario",65 to 69 years,118.0
"Brantford, Ontario",70 to 74 years,111.0
"Brantford, Ontario",75 to 79 years,133.0
"Brantford, Ontario",80 to 84 years,175.0
"Brantford, Ontario",85 to 89 years,226.0
"Brantford, Ontario",90 years and over,254.0
"Brantford, Ontario",All ages,1295.0
"Calgary, Alberta",0 to 4 years,91.0
"Calgary, Alberta",10 to 14 years,13.0
"Calgary, Alberta",15 to 19 years,26.0
"Calgary, Alberta",20 to 24 years,53.0
"Calgary, Alberta",25 to 29 years,58.0
"Calgary, Alberta",30 to 34 years,66.0
"Calgary, Alberta",35 to 39 years,61.0
"Calgary, Alberta",40 to 44 years,97.0
"Calgary, Alberta",45 to 49 years,160.0
"Calgary, Alberta",5 to 9 years,9.0
"Calgary, Alberta",50 to 54 years,278.0
"Calgary, Alberta",55 to 59 years,374.0
"Calgary, Alberta",60 to 64 years,444.0
"Calgary, Alberta",65 to 69 years,488.0
"Calgary, Alberta",70 to 74 years,572.0
"Calgary, Alberta",75 to 79 years,661.0
"Calgary, Alberta",80 to 84 years,940.0
"Calgary, Alberta",85 to 89 years,1005.0
"Calgary, Alberta",90 years and over,1053.0
"Calgary, Alberta",All ages,6449.0
"Edmonton, Alberta",0 to 4 years,111.0
"Edmonton, Alberta",10 to 14 years,6.0
"Edmonton, Alberta",15 to 19 years,24.0
"Edmonton, Alberta",20 to 24 years,49.0
"Edmonton, Alberta",25 to 29 years,88.0
"Edmonton, Alberta",30 to 34 years,73.0
"Edmonton, Alberta",35 to 39 years,79.0
"Edmonton, Alberta",40 to 44 years,142.0
"Edmonton, Alberta",45 to 49 years,202.0
"Edmonton, Alberta",5 to 9 years,15.0
"Edmonton, Alberta",50 to 54 years,294.0
"Edmonton, Alberta",55 to 59 years,435.0
"Edmonton, Alberta",60 to 64 years,532.0
"Edmonton, Alberta",65 to 69 years,660.0
"Edmonton, Alberta",70 to 74 years,748.0
"Edmonton, Alberta",75 to 79 years,837.0
"Edmonton, Alberta",80 to 84 years,1092.0
"Edmonton, Alberta",85 to 89 years,1213.0
"Edmonton, Alberta",90 years and over,1305.0
"Edmonton, Alberta",All ages,7905.0
"Greater Sudbury, Ontario",0 to 4 years,8.0
"Greater Sudbury, Ontario",10 to 14 years,0.0
"Greater Sudbury, Ontario",15 to 19 years,4.0
"Greater Sudbury, Ontario",20 to 24 years,10.0
"Greater Sudbury, Ontario",25 to 29 years,8.0
"Greater Sudbury, Ontario",30 to 34 years,7.0
"Greater Sudbury, Ontario",35 to 39 years,11.0
"Greater Sudbury, Ontario",40 to 44 years,22.0
"Greater Sudbury, Ontario",45 to 49 years,34.0
"Greater Sudbury, Ontario",5 to 9 years,1.0
"Greater Sudbury, Ontario",50 to 54 years,62.0
"Greater Sudbury, Ontario",55 to 59 years,105.0
"Greater Sudbury, Ontario",60 to 64 years,114.0
"Greater Sudbury, Ontario",65 to 69 years,127.0
"Greater Sudbury, Ontario",70 to 74 years,183.0
"Greater Sudbury, Ontario",75 to 79 years,191.0
"Greater Sudbury, Ontario",80 to 84 years,267.0
"Greater Sudbury, Ontario",85 to 89 years,260.0
"Greater Sudbury, Ontario",90 years and over,228.0
"Greater Sudbury, Ontario",All ages,1642.0
"Guelph, Ontario",0 to 4 years,5.0
"Guelph, Ontario",10 to 14 years,1.0
"Guelph, Ontario",15 to 19 years,4.0
"Guelph, Ontario",20 to 24 years,5.0
"Guelph, Ontario",25 to 29 years,5.0
"Guelph, Ontario",30 to 34 years,3.0
"Guelph, Ontario",35 to 39 years,5.0
"Guelph, Ontario",40 to 44 years,13.0
"Guelph, Ontario",45 to 49 years,25.0
"Guelph, Ontario",5 to 9 years,1.0
"Guelph, Ontario",50 to 54 years,34.0
"Guelph, Ontario",55 to 59 years,49.0
"Guelph, Ontario",60 to 64 years,52.0
"Guelph, Ontario",65 to 69 years,83.0
"Guelph, Ontario",70 to 74 years,76.0
"Guelph, Ontario",75 to 79 years,120.0
"Guelph, Ontario",80 to 84 years,175.0
"Guelph, Ontario",85 to 89 years,204.0
"Guelph, Ontario",90 years and over,185.0
"Guelph, Ontario",All ages,1045.0
"Halifax, Nova Scotia",0 to 4 years,20.0
"Halifax, Nova Scotia",10 to 14 years,6.0
"Halifax, Nova Scotia",15 to 19 years,12.0
"Halifax, Nova Scotia",20 to 24 years,11.0
"Halifax, Nova Scotia",25 to 29 years,11.0
"Halifax, Nova Scotia",30 to 34 years,14.0
"Halifax, Nova Scotia",35 to 39 years,18.0
"Halifax, Nova Scotia",40 to 44 years,33.0
"Halifax, Nova Scotia",45 to 49 years,64.0
"Halifax, Nova Scotia",5 to 9 years,5.0
"Halifax, Nova Scotia",50 to 54 years,113.0
"Halifax, Nova Scotia",55 to 59 years,148.0
"Halifax, Nova Scotia",60 to 64 years,194.0
"Halifax, Nova Scotia",65 to 69 years,313.0
"Halifax, Nova Scotia",70 to 74 years,297.0
"Halifax, Nova Scotia",75 to 79 years,364.0
"Halifax, Nova Scotia",80 to 84 years,432.0
"Halifax, Nova Scotia",85 to 89 years,466.0
"Halifax, Nova Scotia",90 years and over,550.0
"Halifax, Nova Scotia",All ages,3071.0
"Hamilton, Ontario",0 to 4 years,44.0
"Hamilton, Ontario",10 to 14 years,3.0
"Hamilton, Ontario",15 to 19 years,5.0
"Hamilton, Ontario",20 to 24 years,26.0
"Hamilton, Ontario",25 to 29 years,27.0
"Hamilton, Ontario",30 to 34 years,28.0
"Hamilton, Ontario",35 to 39 years,39.0
"Hamilton, Ontario",40 to 44 years,65.0
"Hamilton, Ontario",45 to 49 years,106.0
"Hamilton, Ontario",5 to 9 years,3.0
"Hamilton, Ontario",50 to 54 years,211.0
"Hamilton, Ontario",55 to 59 years,293.0
"Hamilton, Ontario",60 to 64 years,357.0
"Hamilton, Ontario",65 to 69 years,498.0
"Hamilton, Ontario",70 to 74 years,600.0
"Hamilton, Ontario",75 to 79 years,750.0
"Hamilton, Ontario",80 to 84 years,1035.0
"Hamilton, Ontario",85 to 89 years,1125.0
"Hamilton, Ontario",90 years and over,1295.0
"Hamilton, Ontario",All ages,6510.0
"Kelowna, British Columbia",0 to 4 years,4.0
"Kelowna, British Columbia",10 to 14 years,1.0
"Kelowna, British Columbia",15 to 19 years,3.0
"Kelowna, British Columbia",20 to 24 years,6.0
"Kelowna, British Columbia",25 to 29 years,8.0
"Kelowna, British Columbia",30 to 34 years,10.0
"Kelowna, British Columbia",35 to 39 years,7.0
"Kelowna, British Columbia",40 to 44 years,17.0
"Kelowna, British Columbia",45 to 49 years,25.0
"Kelowna, British Columbia",5 to 9 years,0.0
"Kelowna, British Columbia",50 to 54 years,49.0
"Kelowna, British Columbia",55 to 59 years,58.0
"Kelowna, British Columbia",60 to 64 years,82.0
"Kelowna, British Columbia",65 to 69 years,109.0
"Kelowna, British Columbia",70 to 74 years,163.0
"Kelowna, British Columbia",75 to 79 years,206.0
"Kelowna, British Columbia",80 to 84 years,277.0
"Kelowna, British Columbia",85 to 89 years,325.0
"Kelowna, British Columbia",90 years and over,333.0
"Kelowna, British Columbia",All ages,1683.0
"Kingston, Ontario",0 to 4 years,9.0
"Kingston, Ontario",10 to 14 years,4.0
"Kingston, Ontario",15 to 19 years,0.0
"Kingston, Ontario",20 to 24 years,5.0
"Kingston, Ontario",25 to 29 years,7.0
"Kingston, Ontario",30 to 34 years,10.0
"Kingston, Ontario",35 to 39 years,6.0
"Kingston, Ontario",40 to 44 years,16.0
"Kingston, Ontario",45 to 49 years,34.0
"Kingston, Ontario",5 to 9 years,0.0
"Kingston, Ontario",50 to 54 years,46.0
"Kingston, Ontario",55 to 59 years,62.0
"Kingston, Ontario",60 to 64 years,104.0
"Kingston, Ontario",65 to 69 years,116.0
"Kingston, Ontario",70 to 74 years,156.0
"Kingston, Ontario",75 to 79 years,179.0
"Kingston, Ontario",80 to 84 years,215.0
"Kingston, Ontario",85 to 89 years,212.0
"Kingston, Ontario",90 years and over,265.0
"Kingston, Ontario",All ages,1446.0
"Kitchener-Cambridge-Waterloo, Ontario",0 to 4 years,31.0
"Kitchener-Cambridge-Waterloo, Ontario",10 to 14 years,14.0
"Kitchener-Cambridge-Waterloo, Ontario",15 to 19 years,12.0
"Kitchener-Cambridge-Waterloo, Ontario",20 to 24 years,12.0
"Kitchener-Cambridge-Waterloo, Ontario",25 to 29 years,19.0
"Kitchener-Cambridge-Waterloo, Ontario",30 to 34 years,25.0
"Kitchener-Cambridge-Waterloo, Ontario",35 to 39 years,19.0
"Kitchener-Cambridge-Waterloo, Ontario",40 to 44 years,42.0
"Kitchener-Cambridge-Waterloo, Ontario",45 to 49 years,74.0
"Kitchener-Cambridge-Waterloo, Ontario",5 to 9 years,0.0
"Kitchener-Cambridge-Waterloo, Ontario",50 to 54 years,125.0
"Kitchener-Cambridge-Waterloo, Ontario",55 to 59 years,175.0
"Kitchener-Cambridge-Waterloo, Ontario",60 to 64 years,213.0
"Kitchener-Cambridge-Waterloo, Ontario",65 to 69 years,267.0
"Kitchener-Cambridge-Waterloo, Ontario",70 to 74 years,298.0
"Kitchener-Cambridge-Waterloo, Ontario",75 to 79 years,362.0
"Kitchener-Cambridge-Waterloo, Ontario",80 to 84 years,496.0
"Kitchener-Cambridge-Waterloo, Ontario",85 to 89 years,595.0
"Kitchener-Cambridge-Waterloo, Ontario",90 years and over,655.0
"Kitchener-Cambridge-Waterloo, Ontario",All ages,3434.0
"London, Ontario",0 to 4 years,34.0
"London, Ontario",10 to 14 years,3.0
"London, Ontario",15 to 19 years,12.0
"London, Ontario",20 to 24 years,24.0
"London, Ontario",25 to 29 years,30.0
"London, Ontario",30 to 34 years,19.0
"London, Ontario",35 to 39 years,26.0
"London, Ontario",40 to 44 years,38.0
"London, Ontario",45 to 49 years,74.0
"London, Ontario",5 to 9 years,3.0
"London, Ontario",50 to 54 years,145.0
"London, Ontario",55 to 59 years,202.0
"London, Ontario",60 to 64 years,231.0
"London, Ontario",65 to 69 years,329.0
"London, Ontario",70 to 74 years,360.0
"London, Ontario",75 to 79 years,478.0
"London, Ontario",80 to 84 years,596.0
"London, Ontario",85 to 89 years,678.0
"London, Ontario",90 years and over,804.0
"London, Ontario",All ages,4086.0
"Moncton, New Brunswick",0 to 4 years,6.0
"Moncton, New Brunswick",10 to 14 years,1.0
"Moncton, New Brunswick",15 to 19 years,2.0
"Moncton, New Brunswick",20 to 24 years,4.0
"Moncton, New Brunswick",25 to 29 years,6.0
"Moncton, New Brunswick",30 to 34 years,8.0
"Moncton, New Brunswick",35 to 39 years,8.0
"Moncton, New Brunswick",40 to 44 years,11.0
"Moncton, New Brunswick",45 to 49 years,18.0
"Moncton, New Brunswick",5 to 9 years,0.0
"Moncton, New Brunswick",50 to 54 years,42.0
"Moncton, New Brunswick",55 to 59 years,47.0
"Moncton, New Brunswick",60 to 64 years,68.0
"Moncton, New Brunswick",65 to 69 years,102.0
"Moncton, New Brunswick",70 to 74 years,105.0
"Moncton, New Brunswick",75 to 79 years,129.0
"Moncton, New Brunswick",80 to 84 years,151.0
"Moncton, New Brunswick",85 to 89 years,148.0
"Moncton, New Brunswick",90 years and over,215.0
"Moncton, New Brunswick",All ages,1071.0
"Montr??al, Quebec",0 to 4 years,224.0
"Montr??al, Quebec",10 to 14 years,9.0
"Montr??al, Quebec",15 to 19 years,43.0
"Montr??al, Quebec",20 to 24 years,91.0
"Montr??al, Quebec",25 to 29 years,90.0
"Montr??al, Quebec",30 to 34 years,149.0
"Montr??al, Quebec",35 to 39 years,163.0
"Montr??al, Quebec",40 to 44 years,240.0
"Montr??al, Quebec",45 to 49 years,497.0
"Montr??al, Quebec",5 to 9 years,20.0
"Montr??al, Quebec",50 to 54 years,882.0
"Montr??al, Quebec",55 to 59 years,1326.0
"Montr??al, Quebec",60 to 64 years,1692.0
"Montr??al, Quebec",65 to 69 years,2318.0
"Montr??al, Quebec",70 to 74 years,2779.0
"Montr??al, Quebec",75 to 79 years,3350.0
"Montr??al, Quebec",80 to 84 years,4654.0
"Montr??al, Quebec",85 to 89 years,4882.0
"Montr??al, Quebec",90 years and over,5063.0
"Montr??al, Quebec",All ages,28472.0
"Oshawa, Ontario",0 to 4 years,20.0
"Oshawa, Ontario",10 to 14 years,3.0
"Oshawa, Ontario",15 to 19 years,5.0
"Oshawa, Ontario",20 to 24 years,7.0
"Oshawa, Ontario",25 to 29 years,10.0
"Oshawa, Ontario",30 to 34 years,10.0
"Oshawa, Ontario",35 to 39 years,20.0
"Oshawa, Ontario",40 to 44 years,34.0
"Oshawa, Ontario",45 to 49 years,55.0
"Oshawa, Ontario",5 to 9 years,2.0
"Oshawa, Ontario",50 to 54 years,95.0
"Oshawa, Ontario",55 to 59 years,130.0
"Oshawa, Ontario",60 to 64 years,177.0
"Oshawa, Ontario",65 to 69 years,228.0
"Oshawa, Ontario",70 to 74 years,231.0
"Oshawa, Ontario",75 to 79 years,290.0
"Oshawa, Ontario",80 to 84 years,395.0
"Oshawa, Ontario",85 to 89 years,409.0
"Oshawa, Ontario",90 years and over,422.0
"Oshawa, Ontario",All ages,2543.0
"Ottawa-Gatineau, Ontario/Quebec",0 to 4 years,47.0
"Ottawa-Gatineau, Ontario/Quebec",10 to 14 years,6.0
"Ottawa-Gatineau, Ontario/Quebec",15 to 19 years,18.0
"Ottawa-Gatineau, Ontario/Quebec",20 to 24 years,31.0
"Ottawa-Gatineau, Ontario/Quebec",25 to 29 years,35.0
"Ottawa-Gatineau, Ontario/Quebec",30 to 34 years,53.0
"Ottawa-Gatineau, Ontario/Quebec",35 to 39 years,47.0
"Ottawa-Gatineau, Ontario/Quebec",40 to 44 years,76.0
"Ottawa-Gatineau, Ontario/Quebec",45 to 49 years,156.0
"Ottawa-Gatineau, Ontario/Quebec",5 to 9 years,2.0
"Ottawa-Gatineau, Ontario/Quebec",50 to 54 years,285.0
"Ottawa-Gatineau, Ontario/Quebec",55 to 59 years,441.0
"Ottawa-Gatineau, Ontario/Quebec",60 to 64 years,522.0
"Ottawa-Gatineau, Ontario/Quebec",65 to 69 years,690.0
"Ottawa-Gatineau, Ontario/Quebec",70 to 74 years,782.0
"Ottawa-Gatineau, Ontario/Quebec",75 to 79 years,942.0
"Ottawa-Gatineau, Ontario/Quebec",80 to 84 years,1200.0
"Ottawa-Gatineau, Ontario/Quebec",85 to 89 years,1348.0
"Ottawa-Gatineau, Ontario/Quebec",90 years and over,1467.0
"Ottawa-Gatineau, Ontario/Quebec",All ages,8148.0
"Peterborough, Ontario",0 to 4 years,5.0
"Peterborough, Ontario",10 to 14 years,0.0
"Peterborough, Ontario",15 to 19 years,2.0
"Peterborough, Ontario",20 to 24 years,7.0
"Peterborough, Ontario",25 to 29 years,4.0
"Peterborough, Ontario",30 to 34 years,5.0
"Peterborough, Ontario",35 to 39 years,7.0
"Peterborough, Ontario",40 to 44 years,8.0
"Peterborough, Ontario",45 to 49 years,21.0
"Peterborough, Ontario",5 to 9 years,1.0
"Peterborough, Ontario",50 to 54 years,29.0
"Peterborough, Ontario",55 to 59 years,52.0
"Peterborough, Ontario",60 to 64 years,89.0
"Peterborough, Ontario",65 to 69 years,113.0
"Peterborough, Ontario",70 to 74 years,109.0
"Peterborough, Ontario",75 to 79 years,136.0
"Peterborough, Ontario",80 to 84 years,188.0
"Peterborough, Ontario",85 to 89 years,238.0
"Peterborough, Ontario",90 years and over,278.0
"Peterborough, Ontario",All ages,1292.0
"Qu??bec, Quebec",0 to 4 years,47.0
"Qu??bec, Quebec",10 to 14 years,4.0
"Qu??bec, Quebec",15 to 19 years,9.0
"Qu??bec, Quebec",20 to 24 years,32.0
"Qu??bec, Quebec",25 to 29 years,29.0
"Qu??bec, Quebec",30 to 34 years,24.0
"Qu??bec, Quebec",35 to 39 years,36.0
"Qu??bec, Quebec",40 to 44 years,51.0
"Qu??bec, Quebec",45 to 49 years,87.0
"Qu??bec, Quebec",5 to 9 years,0.0
"Qu??bec, Quebec",50 to 54 years,149.0
"Qu??bec, Quebec",55 to 59 years,268.0
"Qu??bec, Quebec",60 to 64 years,324.0
"Qu??bec, Quebec",65 to 69 years,500.0
"Qu??bec, Quebec",70 to 74 years,600.0
"Qu??bec, Quebec",75 to 79 years,743.0
"Qu??bec, Quebec",80 to 84 years,975.0
"Qu??bec, Quebec",85 to 89 years,1023.0
"Qu??bec, Quebec",90 years and over,1149.0
"Qu??bec, Quebec",All ages,6050.0
"Regina, Saskatchewan",0 to 4 years,22.0
"Regina, Saskatchewan",10 to 14 years,2.0
"Regina, Saskatchewan",15 to 19 years,3.0
"Regina, Saskatchewan",20 to 24 years,6.0
"Regina, Saskatchewan",25 to 29 years,17.0
"Regina, Saskatchewan",30 to 34 years,18.0
"Regina, Saskatchewan",35 to 39 years,18.0
"Regina, Saskatchewan",40 to 44 years,19.0
"Regina, Saskatchewan",45 to 49 years,37.0
"Regina, Saskatchewan",5 to 9 years,2.0
"Regina, Saskatchewan",50 to 54 years,55.0
"Regina, Saskatchewan",55 to 59 years,93.0
"Regina, Saskatchewan",60 to 64 years,104.0
"Regina, Saskatchewan",65 to 69 years,143.0
"Regina, Saskatchewan",70 to 74 years,141.0
"Regina, Saskatchewan",75 to 79 years,177.0
"Regina, Saskatchewan",80 to 84 years,265.0
"Regina, Saskatchewan",85 to 89 years,302.0
"Regina, Saskatchewan",90 years and over,330.0
"Regina, Saskatchewan",All ages,1754.0
"Saguenay, Quebec",0 to 4 years,10.0
"Saguenay, Quebec",10 to 14 years,3.0
"Saguenay, Quebec",15 to 19 years,2.0
"Saguenay, Quebec",20 to 24 years,1.0
"Saguenay, Quebec",25 to 29 years,6.0
"Saguenay, Quebec",30 to 34 years,3.0
"Saguenay, Quebec",35 to 39 years,8.0
"Saguenay, Quebec",40 to 44 years,17.0
"Saguenay, Quebec",45 to 49 years,20.0
"Saguenay, Quebec",5 to 9 years,0.0
"Saguenay, Quebec",50 to 54 years,51.0
"Saguenay, Quebec",55 to 59 years,79.0
"Saguenay, Quebec",60 to 64 years,88.0
"Saguenay, Quebec",65 to 69 years,126.0
"Saguenay, Quebec",70 to 74 years,152.0
"Saguenay, Quebec",75 to 79 years,187.0
"Saguenay, Quebec",80 to 84 years,261.0
"Saguenay, Quebec",85 to 89 years,267.0
"Saguenay, Quebec",90 years and over,238.0
"Saguenay, Quebec",All ages,1519.0
"Saint John, New Brunswick",0 to 4 years,4.0
"Saint John, New Brunswick",10 to 14 years,1.0
"Saint John, New Brunswick",15 to 19 years,3.0
"Saint John, New Brunswick",20 to 24 years,5.0
"Saint John, New Brunswick",25 to 29 years,6.0
"Saint John, New Brunswick",30 to 34 years,10.0
"Saint John, New Brunswick",35 to 39 years,5.0
"Saint John, New Brunswick",40 to 44 years,8.0
"Saint John, New Brunswick",45 to 49 years,16.0
"Saint John, New Brunswick",5 to 9 years,0.0
"Saint John, New Brunswick",50 to 54 years,34.0
"Saint John, New Brunswick",55 to 59 years,41.0
"Saint John, New Brunswick",60 to 64 years,77.0
"Saint John, New Brunswick",65 to 69 years,105.0
