Geography,Age group,2010,2011,2012,2013,2014,2015,2016
,50 to 54 years,63,57,73,67,66,67,66
,55 to 59 years,88,81,72,95,99,100,100
,60 to 64 years,98,106,95,109,114,119,124
,65 to 69 years,113,102,131,133,140,148,154
,70 to 74 years,148,134,144,159,164,167,173
,75 to 79 years,193,205,184,203,202,202,206
,80 to 84 years,281,261,246,283,280,280,278
,85 to 89 years,296,318,318,329,329,327,329
,90 years and over,351,323,427,418,425,427,435
"Calgary, Alberta",All ages,"5,537","5,634","6,131","6,226","6,449","6,655","6,875"
,-1 year 7,62,56,74,72,74,76,76
,0 to 4 years,14,17,24,17,17,17,17
,5 to 9 years,4,8,9,9,9,9,9
,10 to 14 years,7,11,5,13,13,13,13
,15 to 19 years,30,30,27,26,26,26,26
,20 to 24 years,38,46,35,53,53,53,51
,25 to 29 years,45,63,62,54,58,57,58
,30 to 34 years,54,63,66,64,66,67,71
,35 to 39 years,64,64,69,58,61,65,66
,40 to 44 years,91,107,105,96,97,101,102
,45 to 49 years,164,189,167,162,160,158,159
,50 to 54 years,271,276,257,275,278,276,270
,55 to 59 years,351,300,335,361,374,380,385
,60 to 64 years,366,357,391,423,444,470,495
,65 to 69 years,380,355,469,461,488,523,550
,70 to 74 years,465,474,515,545,572,600,631
,75 to 79 years,645,624,658,647,661,678,696
,80 to 84 years,831,831,934,924,940,946,953
,85 to 89 years,839,900,923,970,"1,005","1,048","1,090"
,90 years and over,816,863,"1,006",996,"1,053","1,092","1,157"
"Edmonton, Alberta",All ages,"6,530","6,739","7,246","7,628","7,905","8,173","8,422"
,-1 year 7,93,61,67,73,75,77,77
,0 to 4 years,21,24,31,36,36,38,39
,5 to 9 years,7,3,6,14,15,15,14
,10 to 14 years,13,7,9,6,6,6,6
,15 to 19 years,32,36,25,24,24,24,24
,20 to 24 years,52,61,60,47,49,50,47
,25 to 29 years,57,69,64,84,88,86,84
,30 to 34 years,50,57,67,69,73,75,77
,35 to 39 years,72,55,63,78,79,82,83
,40 to 44 years,118,102,116,138,142,145,147
,45 to 49 years,201,205,203,204,202,198,198
,50 to 54 years,291,275,316,293,294,293,287
,55 to 59 years,348,415,386,421,435,443,450
,60 to 64 years,462,498,485,503,532,561,589
,65 to 69 years,487,502,547,620,660,703,745
,70 to 74 years,612,566,660,713,748,784,823
,75 to 79 years,715,815,806,819,837,857,882
,80 to 84 years,992,977,"1,058","1,072","1,092","1,098","1,101"
,85 to 89 years,985,997,"1,143","1,172","1,213","1,266","1,313"
,90 years and over,922,"1,014","1,134","1,242","1,305","1,372","1,436"
"Kelowna, British Columbia",All ages,"1,575","1,593","1,589","1,604","1,683","1,717","1,846"
,-1 year 7,6,2,3,3,3,3,3
,0 to 4 years,4,0,1,1,1,1,1
,5 to 9 years,0,3,0,0,0,0,0
,10 to 14 years,1,3,1,1,1,1,1
,15 to 19 years,3,6,2,3,3,3,3
,20 to 24 years,5,10,6,6,6,6,7
,25 to 29 years,8,12,8,8,8,8,8
,30 to 34 years,15,5,17,9,10,10,11
,35 to 39 years,13,13,8,7,7,7,7
,40 to 44 years,14,13,24,17,17,17,18
,45 to 49 years,30,38,33,25,25,25,27
,50 to 54 years,45,47,32,49,49,48,48
,55 to 59 years,66,62,48,55,58,57,60
,60 to 64 years,78,86,86,80,82,82,89
,65 to 69 years,105,114,101,103,109,113,124
,70 to 74 years,150,139,135,153,163,169,183
,75 to 79 years,195,195,190,198,206,210,228
,80 to 84 years,239,243,276,268,277,278,291
,85 to 89 years,322,288,287,313,325,332,359
,90 years and over,276,314,331,305,333,347,378
"Abbotsford-Mission, British Columbia",All ages,"1,162","1,203","1,238","1,173","1,228","1,252","1,348"
,-1 year 7,10,7,4,6,6,6,6
,0 to 4 years,4,2,1,6,6,6,7
,5 to 9 years,2,1,0,1,1,1,1
,10 to 14 years,3,1,2,1,1,1,1
,15 to 19 years,3,10,2,3,3,3,3
,20 to 24 years,11,8,4,6,6,6,6
,25 to 29 years,8,6,4,10,10,10,10
,30 to 34 years,13,7,6,10,11,10,11
,35 to 39 years,9,15,7,8,8,8,8
,40 to 44 years,21,16,17,12,13,13,12
,45 to 49 years,23,35,36,21,21,20,22
,50 to 54 years,32,40,45,36,36,36,37
,55 to 59 years,41,42,60,62,63,63,66
,60 to 64 years,69,70,79,63,67,68,70
,65 to 69 years,84,67,92,98,107,110,122
,70 to 74 years,85,109,114,115,121,126,138
,75 to 79 years,135,117,145,137,144,146,160
,80 to 84 years,199,191,184,194,199,203,214
,85 to 89 years,209,219,193,195,203,208,225
,90 years and over,201,240,243,189,202,208,229
"Vancouver, British Columbia",All ages,"13,553","13,811","13,978","14,254","14,943","15,290","16,471"
,-1 year 7,65,84,79,66,68,68,72
,0 to 4 years,18,18,27,18,19,19,20
,5 to 9 years,5,6,7,14,14,15,14
,10 to 14 years,10,3,9,9,8,9,8
,15 to 19 years,36,44,38,38,39,36,38
,20 to 24 years,59,80,68,70,76,75,78
,25 to 29 years,78,77,85,65,67,63,70
,30 to 34 years,87,95,97,98,102,100,105
,35 to 39 years,132,125,109,108,111,112,122
,40 to 44 years,187,185,179,195,195,189,192
,45 to 49 years,333,298,304,304,301,293,307
,50 to 54 years,454,492,456,459,469,455,469
,55 to 59 years,628,636,684,710,726,729,768
,60 to 64 years,843,807,847,842,869,880,943
,65 to 69 years,918,886,"1,047","1,079","1,143","1,195","1,303"
,70 to 74 years,"1,108","1,202","1,092","1,140","1,213","1,252","1,365"
,75 to 79 years,"1,590","1,547","1,572","1,520","1,582","1,619","1,735"
,80 to 84 years,"2,062","2,157","2,080","2,201","2,266","2,279","2,410"
,85 to 89 years,"2,412","2,363","2,420","2,462","2,561","2,607","2,815"
,90 years and over,"2,528","2,706","2,778","2,856","3,114","3,295","3,637"
"Victoria, British Columbia",All ages,"3,202","3,170","3,138","3,091","3,236","3,300","3,549"
,-1 year 7,11,11,8,12,12,11,12
,0 to 4 years,1,0,2,2,2,2,2
,5 to 9 years,1,1,1,1,1,1,1
,10 to 14 years,1,1,1,3,3,3,3
,15 to 19 years,7,5,4,8,8,7,7
,20 to 24 years,15,9,13,10,10,10,10
,25 to 29 years,14,11,15,10,11,11,11
,30 to 34 years,15,13,8,17,16,17,18
,35 to 39 years,13,21,15,17,18,17,19
,40 to 44 years,26,34,29,22,22,20,21
,45 to 49 years,58,56,43,48,47,45,49
,50 to 54 years,96,96,77,79,81,79,78
,55 to 59 years,142,129,131,130,134,134,143
,60 to 64 years,152,166,172,170,175,175,185
,65 to 69 years,159,184,202,193,204,213,228
,70 to 74 years,192,224,218,229,244,248,273
,75 to 79 years,364,309,288,308,319,325,349
,80 to 84 years,488,495,465,445,459,460,484
,85 to 89 years,709,645,616,590,614,628,677
,90 years and over,738,760,830,797,856,894,979
