Geography,Age group,2010,2011,2012,2013,2014,2015,2016
"Calgary, Alberta",25 to 29 years,45.0,63.0,62.0,54.0,58.0,57.0,58.0
"Calgary, Alberta",30 to 34 years,54.0,63.0,66.0,64.0,66.0,67.0,71.0
"Calgary, Alberta",35 to 39 years,64.0,64.0,69.0,58.0,61.0,65.0,66.0
"Calgary, Alberta",40 to 44 years,91.0,107.0,105.0,96.0,97.0,101.0,102.0
"Calgary, Alberta",45 to 49 years,164.0,189.0,167.0,162.0,160.0,158.0,159.0
"Calgary, Alberta",5 to 9 years,4.0,8.0,9.0,9.0,9.0,9.0,9.0
"Calgary, Alberta",50 to 54 years,271.0,276.0,257.0,275.0,278.0,276.0,270.0
"Calgary, Alberta",55 to 59 years,351.0,300.0,335.0,361.0,374.0,380.0,385.0
"Calgary, Alberta",60 to 64 years,366.0,357.0,391.0,423.0,444.0,470.0,495.0
"Calgary, Alberta",65 to 69 years,380.0,355.0,469.0,461.0,488.0,523.0,550.0
"Calgary, Alberta",70 to 74 years,465.0,474.0,515.0,545.0,572.0,600.0,631.0
"Calgary, Alberta",75 to 79 years,645.0,624.0,658.0,647.0,661.0,678.0,696.0
"Calgary, Alberta",80 to 84 years,831.0,831.0,934.0,924.0,940.0,946.0,953.0
"Calgary, Alberta",85 to 89 years,839.0,900.0,923.0,970.0,1005.0,1048.0,1090.0
"Calgary, Alberta",90 years and over,816.0,863.0,1006.0,996.0,1053.0,1092.0,1157.0
"Calgary, Alberta",All ages,5537.0,5634.0,6131.0,6226.0,6449.0,6655.0,6875.0
"Edmonton, Alberta",0 to 4 years,114.0,85.0,98.0,109.0,111.0,115.0,116.0
"Edmonton, Alberta",10 to 14 years,13.0,7.0,9.0,6.0,6.0,6.0,6.0
"Edmonton, Alberta",15 to 19 years,32.0,36.0,25.0,24.0,24.0,24.0,24.0
"Edmonton, Alberta",20 to 24 years,52.0,61.0,60.0,47.0,49.0,50.0,47.0
"Edmonton, Alberta",25 to 29 years,57.0,69.0,64.0,84.0,88.0,86.0,84.0
"Edmonton, Alberta",30 to 34 years,50.0,57.0,67.0,69.0,73.0,75.0,77.0
"Edmonton, Alberta",35 to 39 years,72.0,55.0,63.0,78.0,79.0,82.0,83.0
"Edmonton, Alberta",40 to 44 years,118.0,102.0,116.0,138.0,142.0,145.0,147.0
"Edmonton, Alberta",45 to 49 years,201.0,205.0,203.0,204.0,202.0,198.0,198.0
"Edmonton, Alberta",5 to 9 years,7.0,3.0,6.0,14.0,15.0,15.0,14.0
"Edmonton, Alberta",50 to 54 years,291.0,275.0,316.0,293.0,294.0,293.0,287.0
"Edmonton, Alberta",55 to 59 years,348.0,415.0,386.0,421.0,435.0,443.0,450.0
"Edmonton, Alberta",60 to 64 years,462.0,498.0,485.0,503.0,532.0,561.0,589.0
"Edmonton, Alberta",65 to 69 years,487.0,502.0,547.0,620.0,660.0,703.0,745.0
"Edmonton, Alberta",70 to 74 years,612.0,566.0,660.0,713.0,748.0,784.0,823.0
"Edmonton, Alberta",75 to 79 years,715.0,815.0,806.0,819.0,837.0,857.0,882.0
"Edmonton, Alberta",80 to 84 years,992.0,977.0,1058.0,1072.0,1092.0,1098.0,1101.0
"Edmonton, Alberta",85 to 89 years,985.0,997.0,1143.0,1172.0,1213.0,1266.0,1313.0
"Edmonton, Alberta",90 years and over,922.0,1014.0,1134.0,1242.0,1305.0,1372.0,1436.0
"Edmonton, Alberta",All ages,6530.0,6739.0,7246.0,7628.0,7905.0,8173.0,8422.0
"Greater Sudbury, Ontario",0 to 4 years,8.0,4.0,14.0,7.0,8.0,8.0,8.0
"Greater Sudbury, Ontario",10 to 14 years,1.0,1.0,2.0,0.0,0.0,0.0,0.0
"Greater Sudbury, Ontario",15 to 19 years,3.0,7.0,1.0,4.0,4.0,4.0,3.0
"Greater Sudbury, Ontario",20 to 24 years,2.0,7.0,11.0,9.0,10.0,9.0,10.0
"Greater Sudbury, Ontario",25 to 29 years,7.0,9.0,6.0,8.0,8.0,8.0,8.0
"Greater Sudbury, Ontario",30 to 34 years,12.0,17.0,15.0,7.0,7.0,7.0,7.0
"Greater Sudbury, Ontario",35 to 39 years,9.0,11.0,8.0,11.0,11.0,11.0,12.0
"Greater Sudbury, Ontario",40 to 44 years,25.0,16.0,21.0,22.0,22.0,22.0,22.0
"Greater Sudbury, Ontario",45 to 49 years,52.0,44.0,40.0,36.0,34.0,34.0,34.0
"Greater Sudbury, Ontario",5 to 9 years,1.0,0.0,0.0,1.0,1.0,1.0,1.0
"Greater Sudbury, Ontario",50 to 54 years,68.0,70.0,58.0,59.0,62.0,62.0,61.0
"Greater Sudbury, Ontario",55 to 59 years,82.0,82.0,81.0,103.0,105.0,109.0,113.0
"Greater Sudbury, Ontario",60 to 64 years,117.0,93.0,93.0,112.0,114.0,117.0,122.0
"Greater Sudbury, Ontario",65 to 69 years,109.0,121.0,134.0,121.0,127.0,136.0,141.0
"Greater Sudbury, Ontario",70 to 74 years,125.0,121.0,162.0,175.0,183.0,190.0,199.0
"Greater Sudbury, Ontario",75 to 79 years,186.0,189.0,205.0,190.0,191.0,200.0,205.0
"Greater Sudbury, Ontario",80 to 84 years,258.0,215.0,232.0,262.0,267.0,270.0,274.0
"Greater Sudbury, Ontario",85 to 89 years,221.0,217.0,195.0,252.0,260.0,268.0,279.0
"Greater Sudbury, Ontario",90 years and over,156.0,178.0,221.0,206.0,228.0,242.0,258.0
"Greater Sudbury, Ontario",All ages,1442.0,1402.0,1499.0,1585.0,1642.0,1698.0,1757.0
"Guelph, Ontario",0 to 4 years,7.0,6.0,12.0,5.0,5.0,5.0,5.0
"Guelph, Ontario",10 to 14 years,0.0,3.0,0.0,1.0,1.0,1.0,1.0
"Guelph, Ontario",15 to 19 years,1.0,3.0,4.0,4.0,4.0,4.0,3.0
"Guelph, Ontario",20 to 24 years,5.0,4.0,5.0,5.0,5.0,5.0,5.0
"Guelph, Ontario",25 to 29 years,3.0,4.0,7.0,5.0,5.0,5.0,5.0
"Guelph, Ontario",30 to 34 years,4.0,3.0,6.0,3.0,3.0,3.0,3.0
"Guelph, Ontario",35 to 39 years,14.0,8.0,6.0,5.0,5.0,4.0,4.0
