Geography,Age group,2010,2011,2012,2013,2014,2015,2016
"Montr??al, Quebec",0 to 4 years,243.0,224.0,253.0,219.0,224.0,225.0,210.0
"Montr??al, Quebec",10 to 14 years,23.0,25.0,21.0,18.0,9.0,13.0,22.0
"Montr??al, Quebec",15 to 19 years,54.0,49.0,48.0,47.0,43.0,42.0,43.0
"Montr??al, Quebec",20 to 24 years,89.0,79.0,92.0,88.0,91.0,100.0,63.0
"Montr??al, Quebec",25 to 29 years,90.0,96.0,93.0,87.0,90.0,90.0,73.0
"Montr??al, Quebec",30 to 34 years,125.0,123.0,150.0,131.0,149.0,137.0,120.0
"Montr??al, Quebec",35 to 39 years,173.0,160.0,169.0,161.0,163.0,170.0,176.0
"Montr??al, Quebec",40 to 44 years,290.0,272.0,275.0,246.0,240.0,220.0,222.0
"Montr??al, Quebec",45 to 49 years,578.0,555.0,505.0,487.0,497.0,437.0,465.0
"Montr??al, Quebec",5 to 9 years,13.0,14.0,8.0,15.0,20.0,9.0,17.0
"Montr??al, Quebec",50 to 54 years,908.0,896.0,877.0,847.0,882.0,808.0,829.0
"Montr??al, Quebec",55 to 59 years,1269.0,1240.0,1232.0,1206.0,1326.0,1263.0,1275.0
"Montr??al, Quebec",60 to 64 years,1682.0,1643.0,1627.0,1647.0,1692.0,1656.0,1692.0
"Montr??al, Quebec",65 to 69 years,2062.0,2047.0,2186.0,2184.0,2318.0,2218.0,2194.0
"Montr??al, Quebec",70 to 74 years,2608.0,2516.0,2517.0,2524.0,2779.0,2744.0,2809.0
"Montr??al, Quebec",75 to 79 years,3587.0,3237.0,3424.0,3245.0,3350.0,3292.0,3327.0
"Montr??al, Quebec",80 to 84 years,4520.0,4487.0,4675.0,4510.0,4654.0,4478.0,4470.0
"Montr??al, Quebec",85 to 89 years,4424.0,4376.0,4699.0,4578.0,4882.0,4783.0,4922.0
"Montr??al, Quebec",90 years and over,4150.0,4042.0,4428.0,4520.0,5063.0,5158.0,5424.0
"Montr??al, Quebec",All ages,26888.0,26081.0,27279.0,26760.0,28472.0,27843.0,28353.0
"Oshawa, Ontario",0 to 4 years,28.0,18.0,21.0,19.0,20.0,20.0,21.0
"Oshawa, Ontario",10 to 14 years,2.0,1.0,5.0,2.0,3.0,2.0,2.0
"Oshawa, Ontario",15 to 19 years,10.0,13.0,9.0,5.0,5.0,4.0,5.0
"Oshawa, Ontario",20 to 24 years,11.0,7.0,7.0,7.0,7.0,7.0,7.0
"Oshawa, Ontario",25 to 29 years,7.0,11.0,8.0,10.0,10.0,10.0,10.0
"Oshawa, Ontario",30 to 34 years,18.0,10.0,10.0,10.0,10.0,10.0,12.0
"Oshawa, Ontario",35 to 39 years,12.0,16.0,18.0,19.0,20.0,19.0,20.0
"Oshawa, Ontario",40 to 44 years,26.0,37.0,30.0,34.0,34.0,33.0,34.0
"Oshawa, Ontario",45 to 49 years,46.0,63.0,59.0,58.0,55.0,53.0,52.0
"Oshawa, Ontario",5 to 9 years,0.0,2.0,3.0,1.0,2.0,1.0,2.0
"Oshawa, Ontario",50 to 54 years,99.0,97.0,97.0,93.0,95.0,96.0,95.0
"Oshawa, Ontario",55 to 59 years,126.0,122.0,139.0,127.0,130.0,132.0,136.0
"Oshawa, Ontario",60 to 64 years,157.0,160.0,166.0,172.0,177.0,182.0,187.0
"Oshawa, Ontario",65 to 69 years,178.0,171.0,198.0,219.0,228.0,242.0,250.0
"Oshawa, Ontario",70 to 74 years,203.0,198.0,218.0,223.0,231.0,242.0,253.0
"Oshawa, Ontario",75 to 79 years,284.0,311.0,282.0,282.0,290.0,298.0,309.0
"Oshawa, Ontario",80 to 84 years,362.0,362.0,385.0,391.0,395.0,404.0,408.0
"Oshawa, Ontario",85 to 89 years,295.0,361.0,344.0,398.0,409.0,424.0,438.0
"Oshawa, Ontario",90 years and over,276.0,289.0,335.0,386.0,422.0,456.0,475.0
"Oshawa, Ontario",All ages,2140.0,2249.0,2334.0,2456.0,2543.0,2635.0,2716.0
"Ottawa-Gatineau, Ontario/Quebec",0 to 4 years,73.0,61.0,71.0,58.0,47.0,50.0,46.0
"Ottawa-Gatineau, Ontario/Quebec",10 to 14 years,5.0,5.0,5.0,8.0,6.0,5.0,5.0
"Ottawa-Gatineau, Ontario/Quebec",15 to 19 years,22.0,23.0,21.0,22.0,18.0,18.0,16.0
"Ottawa-Gatineau, Ontario/Quebec",20 to 24 years,27.0,44.0,36.0,34.0,31.0,32.0,34.0
"Ottawa-Gatineau, Ontario/Quebec",25 to 29 years,39.0,46.0,36.0,28.0,35.0,30.0,32.0
"Ottawa-Gatineau, Ontario/Quebec",30 to 34 years,47.0,50.0,38.0,43.0,53.0,44.0,50.0
"Ottawa-Gatineau, Ontario/Quebec",35 to 39 years,57.0,55.0,63.0,52.0,47.0,47.0,55.0
"Ottawa-Gatineau, Ontario/Quebec",40 to 44 years,107.0,87.0,67.0,80.0,76.0,71.0,69.0
"Ottawa-Gatineau, Ontario/Quebec",45 to 49 years,195.0,172.0,168.0,165.0,156.0,161.0,149.0
"Ottawa-Gatineau, Ontario/Quebec",5 to 9 years,5.0,5.0,9.0,3.0,2.0,5.0,2.0
"Ottawa-Gatineau, Ontario/Quebec",50 to 54 years,287.0,294.0,311.0,260.0,285.0,258.0,282.0
"Ottawa-Gatineau, Ontario/Quebec",55 to 59 years,410.0,387.0,445.0,423.0,441.0,434.0,452.0
"Ottawa-Gatineau, Ontario/Quebec",60 to 64 years,482.0,493.0,530.0,533.0,522.0,517.0,534.0
"Ottawa-Gatineau, Ontario/Quebec",65 to 69 years,542.0,578.0,586.0,638.0,690.0,734.0,741.0
"Ottawa-Gatineau, Ontario/Quebec",70 to 74 years,666.0,619.0,726.0,715.0,782.0,793.0,820.0
"Ottawa-Gatineau, Ontario/Quebec",75 to 79 years,893.0,863.0,879.0,933.0,942.0,974.0,1028.0
"Ottawa-Gatineau, Ontario/Quebec",80 to 84 years,1121.0,1140.0,1213.0,1148.0,1200.0,1193.0,1225.0
"Ottawa-Gatineau, Ontario/Quebec",85 to 89 years,1324.0,1159.0,1280.0,1293.0,1348.0,1331.0,1410.0
"Ottawa-Gatineau, Ontario/Quebec",90 years and over,1086.0,1274.0,1423.0,1388.0,1467.0,1580.0,1698.0
"Ottawa-Gatineau, Ontario/Quebec",All ages,7388.0,7355.0,7907.0,7824.0,8148.0,8277.0,8648.0
"Peterborough, Ontario",0 to 4 years,6.0,5.0,8.0,5.0,5.0,6.0,6.0
"Peterborough, Ontario",10 to 14 years,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Peterborough, Ontario",15 to 19 years,2.0,0.0,4.0,2.0,2.0,2.0,2.0
"Peterborough, Ontario",20 to 24 years,3.0,1.0,9.0,7.0,7.0,7.0,7.0
"Peterborough, Ontario",25 to 29 years,2.0,4.0,4.0,5.0,4.0,5.0,5.0
"Peterborough, Ontario",30 to 34 years,6.0,6.0,2.0,5.0,5.0,5.0,5.0
"Peterborough, Ontario",35 to 39 years,4.0,7.0,6.0,7.0,7.0,7.0,7.0
"Peterborough, Ontario",40 to 44 years,15.0,8.0,7.0,8.0,8.0,8.0,8.0
"Peterborough, Ontario",45 to 49 years,22.0,23.0,22.0,21.0,21.0,21.0,21.0
"Peterborough, Ontario",5 to 9 years,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"Peterborough, Ontario",50 to 54 years,46.0,25.0,26.0,29.0,29.0,30.0,29.0
"Peterborough, Ontario",55 to 59 years,44.0,49.0,58.0,50.0,52.0,54.0,54.0
"Peterborough, Ontario",60 to 64 years,75.0,64.0,70.0,88.0,89.0,91.0,96.0
"Peterborough, Ontario",65 to 69 years,65.0,82.0,82.0,108.0,113.0,117.0,124.0
"Peterborough, Ontario",70 to 74 years,89.0,109.0,98.0,107.0,109.0,114.0,119.0
"Peterborough, Ontario",75 to 79 years,159.0,143.0,140.0,132.0,136.0,140.0,142.0
"Peterborough, Ontario",80 to 84 years,199.0,174.0,189.0,185.0,188.0,189.0,192.0
"Peterborough, Ontario",85 to 89 years,204.0,231.0,220.0,231.0,238.0,244.0,251.0
"Peterborough, Ontario",90 years and over,198.0,224.0,216.0,257.0,278.0,296.0,315.0
"Peterborough, Ontario",All ages,1140.0,1155.0,1163.0,1248.0,1292.0,1337.0,1384.0
"Qu??bec, Quebec",0 to 4 years,40.0,36.0,45.0,56.0,47.0,38.0,41.0
"Qu??bec, Quebec",10 to 14 years,3.0,3.0,1.0,3.0,4.0,4.0,4.0
"Qu??bec, Quebec",15 to 19 years,8.0,12.0,10.0,6.0,9.0,11.0,0.0
"Qu??bec, Quebec",20 to 24 years,27.0,13.0,18.0,19.0,32.0,17.0,10.0
"Qu??bec, Quebec",25 to 29 years,27.0,26.0,18.0,19.0,29.0,18.0,23.0
"Qu??bec, Quebec",30 to 34 years,19.0,27.0,32.0,29.0,24.0,25.0,19.0
"Qu??bec, Quebec",35 to 39 years,35.0,30.0,45.0,42.0,36.0,27.0,26.0
"Qu??bec, Quebec",40 to 44 years,59.0,49.0,30.0,51.0,51.0,57.0,43.0
"Qu??bec, Quebec",45 to 49 years,100.0,103.0,92.0,86.0,87.0,83.0,69.0
"Qu??bec, Quebec",5 to 9 years,2.0,3.0,3.0,2.0,0.0,5.0,0.0
"Qu??bec, Quebec",50 to 54 years,174.0,185.0,177.0,161.0,149.0,155.0,148.0
"Qu??bec, Quebec",55 to 59 years,253.0,277.0,242.0,256.0,268.0,246.0,264.0
"Qu??bec, Quebec",60 to 64 years,358.0,372.0,367.0,364.0,324.0,335.0,326.0
"Qu??bec, Quebec",65 to 69 years,438.0,460.0,458.0,458.0,500.0,490.0,531.0
"Qu??bec, Quebec",70 to 74 years,516.0,526.0,534.0,567.0,600.0,588.0,638.0
"Qu??bec, Quebec",75 to 79 years,718.0,718.0,707.0,681.0,743.0,682.0,773.0
"Qu??bec, Quebec",80 to 84 years,940.0,868.0,960.0,1003.0,975.0,926.0,949.0
"Qu??bec, Quebec",85 to 89 years,898.0,934.0,1000.0,946.0,1023.0,1025.0,1026.0
"Qu??bec, Quebec",90 years and over,905.0,923.0,1030.0,1016.0,1149.0,1097.0,1264.0
"Qu??bec, Quebec",All ages,5520.0,5565.0,5769.0,5765.0,6050.0,5829.0,6154.0
"Regina, Saskatchewan",0 to 4 years,16.0,26.0,17.0,22.0,22.0,22.0,22.0
"Regina, Saskatchewan",10 to 14 years,2.0,3.0,1.0,3.0,2.0,3.0,2.0
"Regina, Saskatchewan",15 to 19 years,11.0,4.0,5.0,3.0,3.0,3.0,3.0
"Regina, Saskatchewan",20 to 24 years,13.0,7.0,9.0,8.0,6.0,7.0,7.0
"Regina, Saskatchewan",25 to 29 years,8.0,25.0,16.0,17.0,17.0,17.0,17.0
"Regina, Saskatchewan",30 to 34 years,17.0,12.0,19.0,16.0,18.0,18.0,18.0
"Regina, Saskatchewan",35 to 39 years,18.0,22.0,24.0,17.0,18.0,18.0,18.0
"Regina, Saskatchewan",40 to 44 years,24.0,23.0,23.0,19.0,19.0,20.0,21.0
"Regina, Saskatchewan",45 to 49 years,54.0,48.0,47.0,37.0,37.0,36.0,36.0
"Regina, Saskatchewan",5 to 9 years,1.0,3.0,4.0,2.0,2.0,2.0,2.0
"Regina, Saskatchewan",50 to 54 years,59.0,71.0,51.0,57.0,55.0,55.0,54.0
"Regina, Saskatchewan",55 to 59 years,80.0,89.0,83.0,95.0,93.0,96.0,97.0
"Regina, Saskatchewan",60 to 64 years,100.0,100.0,89.0,100.0,104.0,109.0,112.0
"Regina, Saskatchewan",65 to 69 years,94.0,107.0,117.0,137.0,143.0,150.0,157.0
"Regina, Saskatchewan",70 to 74 years,143.0,128.0,137.0,136.0,141.0,145.0,149.0
"Regina, Saskatchewan",75 to 79 years,210.0,180.0,172.0,175.0,177.0,178.0,179.0
"Regina, Saskatchewan",80 to 84 years,259.0,226.0,279.0,265.0,265.0,263.0,262.0
"Regina, Saskatchewan",85 to 89 years,272.0,282.0,305.0,302.0,302.0,300.0,304.0
"Regina, Saskatchewan",90 years and over,311.0,295.0,345.0,327.0,330.0,338.0,341.0
"Regina, Saskatchewan",All ages,1692.0,1651.0,1743.0,1738.0,1754.0,1780.0,1801.0
"Saguenay, Quebec",0 to 4 years,21.0,6.0,12.0,16.0,10.0,6.0,7.0
"Saguenay, Quebec",10 to 14 years,1.0,2.0,2.0,0.0,3.0,1.0,0.0
"Saguenay, Quebec",15 to 19 years,6.0,2.0,1.0,4.0,2.0,1.0,3.0
"Saguenay, Quebec",20 to 24 years,4.0,5.0,9.0,6.0,1.0,3.0,3.0
"Saguenay, Quebec",25 to 29 years,5.0,6.0,2.0,6.0,6.0,10.0,6.0
"Saguenay, Quebec",30 to 34 years,7.0,11.0,7.0,4.0,3.0,7.0,8.0
"Saguenay, Quebec",35 to 39 years,7.0,9.0,7.0,7.0,8.0,13.0,9.0
"Saguenay, Quebec",40 to 44 years,7.0,14.0,13.0,9.0,17.0,13.0,16.0
"Saguenay, Quebec",45 to 49 years,26.0,23.0,32.0,17.0,20.0,20.0,16.0
"Saguenay, Quebec",5 to 9 years,0.0,0.0,1.0,1.0,0.0,4.0,0.0
"Saguenay, Quebec",50 to 54 years,38.0,38.0,43.0,45.0,51.0,39.0,48.0
"Saguenay, Quebec",55 to 59 years,52.0,71.0,56.0,74.0,79.0,73.0,56.0
"Saguenay, Quebec",60 to 64 years,99.0,77.0,88.0,83.0,88.0,100.0,101.0
"Saguenay, Quebec",65 to 69 years,117.0,123.0,119.0,124.0,126.0,111.0,106.0
"Saguenay, Quebec",70 to 74 years,141.0,126.0,144.0,139.0,152.0,133.0,158.0
"Saguenay, Quebec",75 to 79 years,157.0,189.0,182.0,174.0,187.0,173.0,178.0
"Saguenay, Quebec",80 to 84 years,215.0,228.0,239.0,245.0,261.0,210.0,227.0
"Saguenay, Quebec",85 to 89 years,180.0,199.0,235.0,261.0,267.0,245.0,241.0
"Saguenay, Quebec",90 years and over,155.0,161.0,228.0,176.0,238.0,210.0,211.0
"Saguenay, Quebec",All ages,1238.0,1290.0,1420.0,1391.0,1519.0,1372.0,1394.0
"Saint John, New Brunswick",0 to 4 years,4.0,4.0,5.0,4.0,4.0,4.0,4.0
"Saint John, New Brunswick",10 to 14 years,2.0,0.0,2.0,1.0,1.0,1.0,1.0
"Saint John, New Brunswick",15 to 19 years,2.0,3.0,4.0,3.0,3.0,3.0,3.0
"Saint John, New Brunswick",20 to 24 years,5.0,3.0,4.0,5.0,5.0,5.0,5.0
"Saint John, New Brunswick",25 to 29 years,6.0,7.0,4.0,6.0,6.0,6.0,7.0
"Saint John, New Brunswick",30 to 34 years,4.0,3.0,6.0,10.0,10.0,10.0,10.0
"Saint John, New Brunswick",35 to 39 years,10.0,7.0,7.0,4.0,5.0,4.0,3.0
"Saint John, New Brunswick",40 to 44 years,13.0,13.0,20.0,10.0,8.0,9.0,9.0
"Saint John, New Brunswick",45 to 49 years,24.0,27.0,29.0,17.0,16.0,16.0,15.0
"Saint John, New Brunswick",5 to 9 years,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Saint John, New Brunswick",50 to 54 years,41.0,44.0,45.0,33.0,34.0,33.0,32.0
"Saint John, New Brunswick",55 to 59 years,46.0,59.0,55.0,42.0,41.0,42.0,42.0
"Saint John, New Brunswick",60 to 64 years,77.0,82.0,79.0,76.0,77.0,77.0,79.0
"Saint John, New Brunswick",65 to 69 years,93.0,99.0,82.0,99.0,105.0,111.0,117.0
"Saint John, New Brunswick",70 to 74 years,113.0,97.0,99.0,117.0,123.0,128.0,133.0
"Saint John, New Brunswick",75 to 79 years,114.0,120.0,119.0,106.0,109.0,113.0,116.0
"Saint John, New Brunswick",80 to 84 years,176.0,177.0,158.0,189.0,192.0,194.0,199.0
"Saint John, New Brunswick",85 to 89 years,187.0,183.0,156.0,169.0,168.0,170.0,173.0
"Saint John, New Brunswick",90 years and over,187.0,188.0,176.0,214.0,227.0,235.0,246.0
"Saint John, New Brunswick",All ages,1104.0,1116.0,1050.0,1105.0,1134.0,1161.0,1194.0
"Saskatoon, Saskatchewan",0 to 4 years,32.0,23.0,23.0,29.0,29.0,31.0,31.0
"Saskatoon, Saskatchewan",10 to 14 years,3.0,3.0,0.0,3.0,3.0,4.0,3.0
"Saskatoon, Saskatchewan",15 to 19 years,3.0,8.0,6.0,6.0,6.0,6.0,6.0
"Saskatoon, Saskatchewan",20 to 24 years,21.0,15.0,8.0,16.0,17.0,16.0,16.0
"Saskatoon, Saskatchewan",25 to 29 years,22.0,21.0,13.0,17.0,17.0,17.0,17.0
"Saskatoon, Saskatchewan",30 to 34 years,21.0,12.0,17.0,15.0,16.0,16.0,17.0
"Saskatoon, Saskatchewan",35 to 39 years,27.0,19.0,20.0,23.0,24.0,26.0,26.0
"Saskatoon, Saskatchewan",40 to 44 years,29.0,26.0,30.0,31.0,31.0,31.0,31.0
"Saskatoon, Saskatchewan",45 to 49 years,47.0,42.0,38.0,42.0,41.0,41.0,42.0
"Saskatoon, Saskatchewan",5 to 9 years,1.0,1.0,1.0,3.0,3.0,3.0,3.0
"Saskatoon, Saskatchewan",50 to 54 years,63.0,57.0,73.0,67.0,66.0,67.0,66.0
"Saskatoon, Saskatchewan",55 to 59 years,88.0,81.0,72.0,95.0,99.0,100.0,100.0
"Saskatoon, Saskatchewan",60 to 64 years,98.0,106.0,95.0,109.0,114.0,119.0,124.0
"Saskatoon, Saskatchewan",65 to 69 years,113.0,102.0,131.0,133.0,140.0,148.0,154.0
"Saskatoon, Saskatchewan",70 to 74 years,148.0,134.0,144.0,159.0,164.0,167.0,173.0
"Saskatoon, Saskatchewan",75 to 79 years,193.0,205.0,184.0,203.0,202.0,202.0,206.0
"Saskatoon, Saskatchewan",80 to 84 years,281.0,261.0,246.0,283.0,280.0,280.0,278.0
"Saskatoon, Saskatchewan",85 to 89 years,296.0,318.0,318.0,329.0,329.0,327.0,329.0
"Saskatoon, Saskatchewan",90 years and over,351.0,323.0,427.0,418.0,425.0,427.0,435.0
"Saskatoon, Saskatchewan",All ages,1837.0,1757.0,1846.0,1981.0,2006.0,2028.0,2057.0
"Sherbrooke, Quebec",0 to 4 years,5.0,12.0,10.0,11.0,10.0,5.0,16.0
"Sherbrooke, Quebec",10 to 14 years,0.0,2.0,1.0,1.0,1.0,0.0,0.0
"Sherbrooke, Quebec",15 to 19 years,5.0,3.0,2.0,3.0,7.0,2.0,1.0
"Sherbrooke, Quebec",20 to 24 years,3.0,6.0,5.0,3.0,2.0,4.0,2.0
"Sherbrooke, Quebec",25 to 29 years,11.0,6.0,2.0,5.0,5.0,10.0,5.0
"Sherbrooke, Quebec",30 to 34 years,9.0,10.0,4.0,9.0,3.0,5.0,13.0
"Sherbrooke, Quebec",35 to 39 years,9.0,14.0,14.0,8.0,12.0,5.0,9.0
"Sherbrooke, Quebec",40 to 44 years,13.0,10.0,13.0,21.0,11.0,6.0,19.0
"Sherbrooke, Quebec",45 to 49 years,25.0,27.0,17.0,27.0,21.0,26.0,19.0
"Sherbrooke, Quebec",5 to 9 years,1.0,1.0,3.0,2.0,2.0,1.0,1.0
"Sherbrooke, Quebec",50 to 54 years,41.0,45.0,46.0,41.0,52.0,55.0,36.0
"Sherbrooke, Quebec",55 to 59 years,59.0,73.0,76.0,83.0,78.0,72.0,64.0
"Sherbrooke, Quebec",60 to 64 years,100.0,118.0,104.0,102.0,104.0,88.0,94.0
"Sherbrooke, Quebec",65 to 69 years,123.0,132.0,133.0,136.0,154.0,141.0,137.0
"Sherbrooke, Quebec",70 to 74 years,125.0,140.0,133.0,156.0,141.0,158.0,192.0
"Sherbrooke, Quebec",75 to 79 years,202.0,172.0,177.0,174.0,211.0,170.0,182.0
"Sherbrooke, Quebec",80 to 84 years,255.0,234.0,232.0,216.0,265.0,213.0,246.0
"Sherbrooke, Quebec",85 to 89 years,279.0,237.0,274.0,287.0,286.0,256.0,271.0
"Sherbrooke, Quebec",90 years and over,282.0,273.0,292.0,323.0,380.0,338.0,393.0
"Sherbrooke, Quebec",All ages,1547.0,1515.0,1538.0,1608.0,1745.0,1555.0,1700.0
"St. Catharines-Niagara, Ontario",0 to 4 years,13.0,14.0,10.0,14.0,14.0,15.0,15.0
"St. Catharines-Niagara, Ontario",10 to 14 years,0.0,2.0,4.0,0.0,0.0,0.0,0.0
"St. Catharines-Niagara, Ontario",15 to 19 years,13.0,9.0,11.0,8.0,8.0,8.0,7.0
"St. Catharines-Niagara, Ontario",20 to 24 years,12.0,18.0,12.0,13.0,13.0,13.0,14.0
"St. Catharines-Niagara, Ontario",25 to 29 years,11.0,14.0,18.0,16.0,16.0,16.0,16.0
"St. Catharines-Niagara, Ontario",30 to 34 years,16.0,16.0,14.0,18.0,18.0,18.0,18.0
"St. Catharines-Niagara, Ontario",35 to 39 years,37.0,21.0,26.0,23.0,23.0,23.0,25.0
"St. Catharines-Niagara, Ontario",40 to 44 years,35.0,42.0,47.0,34.0,34.0,34.0,34.0
"St. Catharines-Niagara, Ontario",45 to 49 years,66.0,80.0,62.0,61.0,58.0,57.0,56.0
"St. Catharines-Niagara, Ontario",5 to 9 years,3.0,2.0,1.0,1.0,1.0,1.0,1.0
"St. Catharines-Niagara, Ontario",50 to 54 years,136.0,122.0,148.0,141.0,141.0,143.0,142.0
"St. Catharines-Niagara, Ontario",55 to 59 years,176.0,162.0,192.0,184.0,191.0,194.0,199.0
"St. Catharines-Niagara, Ontario",60 to 64 years,232.0,238.0,256.0,238.0,242.0,250.0,259.0
"St. Catharines-Niagara, Ontario",65 to 69 years,291.0,274.0,349.0,312.0,327.0,346.0,357.0
"St. Catharines-Niagara, Ontario",70 to 74 years,339.0,346.0,364.0,389.0,404.0,418.0,441.0
"St. Catharines-Niagara, Ontario",75 to 79 years,461.0,469.0,462.0,494.0,508.0,521.0,535.0
"St. Catharines-Niagara, Ontario",80 to 84 years,654.0,614.0,633.0,678.0,689.0,698.0,705.0
"St. Catharines-Niagara, Ontario",85 to 89 years,725.0,682.0,734.0,713.0,732.0,754.0,780.0
"St. Catharines-Niagara, Ontario",90 years and over,590.0,660.0,700.0,727.0,783.0,841.0,896.0
"St. Catharines-Niagara, Ontario",All ages,3810.0,3785.0,4043.0,4064.0,4202.0,4350.0,4500.0
"St. John's, Newfoundland and Labrador",0 to 4 years,14.0,14.0,11.0,16.0,15.0,16.0,15.0
"St. John's, Newfoundland and Labrador",10 to 14 years,0.0,3.0,0.0,3.0,2.0,1.0,1.0
"St. John's, Newfoundland and Labrador",15 to 19 years,3.0,5.0,6.0,4.0,4.0,4.0,4.0
"St. John's, Newfoundland and Labrador",20 to 24 years,5.0,7.0,5.0,6.0,7.0,6.0,5.0
"St. John's, Newfoundland and Labrador",25 to 29 years,2.0,7.0,3.0,9.0,8.0,8.0,9.0
"St. John's, Newfoundland and Labrador",30 to 34 years,6.0,6.0,15.0,15.0,16.0,16.0,15.0
"St. John's, Newfoundland and Labrador",35 to 39 years,13.0,15.0,9.0,6.0,6.0,5.0,5.0
"St. John's, Newfoundland and Labrador",40 to 44 years,26.0,16.0,19.0,14.0,14.0,14.0,13.0
"St. John's, Newfoundland and Labrador",45 to 49 years,33.0,40.0,31.0,39.0,39.0,39.0,39.0
"St. John's, Newfoundland and Labrador",5 to 9 years,0.0,0.0,0.0,2.0,2.0,2.0,1.0
"St. John's, Newfoundland and Labrador",50 to 54 years,48.0,52.0,51.0,47.0,47.0,48.0,47.0
"St. John's, Newfoundland and Labrador",55 to 59 years,85.0,93.0,91.0,88.0,88.0,88.0,88.0
"St. John's, Newfoundland and Labrador",60 to 64 years,98.0,92.0,89.0,99.0,100.0,102.0,101.0
"St. John's, Newfoundland and Labrador",65 to 69 years,111.0,130.0,137.0,154.0,163.0,171.0,174.0
"St. John's, Newfoundland and Labrador",70 to 74 years,149.0,144.0,146.0,146.0,155.0,162.0,179.0
"St. John's, Newfoundland and Labrador",75 to 79 years,173.0,165.0,177.0,187.0,193.0,200.0,209.0
"St. John's, Newfoundland and Labrador",80 to 84 years,225.0,223.0,233.0,222.0,229.0,233.0,240.0
"St. John's, Newfoundland and Labrador",85 to 89 years,244.0,210.0,227.0,219.0,224.0,234.0,237.0
"St. John's, Newfoundland and Labrador",90 years and over,204.0,207.0,234.0,231.0,234.0,237.0,243.0
"St. John's, Newfoundland and Labrador",All ages,1439.0,1429.0,1484.0,1507.0,1546.0,1586.0,1625.0
"Thunder Bay, Ontario",0 to 4 years,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"Thunder Bay, Ontario",10 to 14 years,1.0,1.0,3.0,1.0,1.0,1.0,1.0
"Thunder Bay, Ontario",15 to 19 years,4.0,5.0,4.0,2.0,1.0,2.0,1.0
"Thunder Bay, Ontario",20 to 24 years,3.0,7.0,7.0,11.0,11.0,11.0,11.0
"Thunder Bay, Ontario",25 to 29 years,4.0,5.0,10.0,8.0,8.0,8.0,8.0
"Thunder Bay, Ontario",30 to 34 years,15.0,6.0,10.0,18.0,19.0,19.0,20.0
"Thunder Bay, Ontario",35 to 39 years,7.0,7.0,9.0,8.0,9.0,9.0,9.0
"Thunder Bay, Ontario",40 to 44 years,17.0,16.0,15.0,18.0,18.0,17.0,18.0
"Thunder Bay, Ontario",45 to 49 years,35.0,22.0,33.0,33.0,32.0,30.0,31.0
"Thunder Bay, Ontario",5 to 9 years,2.0,1.0,1.0,1.0,1.0,1.0,1.0
"Thunder Bay, Ontario",50 to 54 years,60.0,48.0,44.0,53.0,55.0,54.0,53.0
"Thunder Bay, Ontario",55 to 59 years,49.0,66.0,65.0,72.0,72.0,76.0,77.0
"Thunder Bay, Ontario",60 to 64 years,91.0,88.0,73.0,76.0,77.0,81.0,83.0
"Thunder Bay, Ontario",65 to 69 years,83.0,97.0,90.0,111.0,118.0,124.0,130.0
"Thunder Bay, Ontario",70 to 74 years,138.0,130.0,103.0,109.0,111.0,116.0,123.0
"Thunder Bay, Ontario",75 to 79 years,161.0,148.0,136.0,124.0,131.0,133.0,136.0
"Thunder Bay, Ontario",80 to 84 years,195.0,214.0,199.0,185.0,185.0,189.0,193.0
"Thunder Bay, Ontario",85 to 89 years,211.0,197.0,225.0,209.0,215.0,223.0,231.0
"Thunder Bay, Ontario",90 years and over,184.0,173.0,199.0,207.0,224.0,241.0,254.0
"Thunder Bay, Ontario",All ages,1268.0,1239.0,1234.0,1254.0,1296.0,1343.0,1388.0
"Toronto, Ontario",0 to 4 years,355.0,354.0,346.0,341.0,344.0,345.0,349.0
"Toronto, Ontario",10 to 14 years,32.0,32.0,29.0,28.0,27.0,28.0,28.0
"Toronto, Ontario",15 to 19 years,91.0,81.0,95.0,106.0,103.0,103.0,102.0
"Toronto, Ontario",20 to 24 years,128.0,149.0,154.0,154.0,157.0,157.0,159.0
"Toronto, Ontario",25 to 29 years,138.0,157.0,150.0,160.0,162.0,164.0,171.0
"Toronto, Ontario",30 to 34 years,148.0,173.0,168.0,203.0,207.0,210.0,214.0
"Toronto, Ontario",35 to 39 years,247.0,234.0,226.0,245.0,246.0,246.0,252.0
"Toronto, Ontario",40 to 44 years,389.0,425.0,429.0,421.0,411.0,402.0,397.0
"Toronto, Ontario",45 to 49 years,717.0,694.0,737.0,668.0,647.0,626.0,616.0
"Toronto, Ontario",5 to 9 years,24.0,19.0,21.0,24.0,24.0,25.0,24.0
"Toronto, Ontario",50 to 54 years,1060.0,1066.0,1056.0,1097.0,1118.0,1125.0,1116.0
"Toronto, Ontario",55 to 59 years,1327.0,1366.0,1401.0,1447.0,1486.0,1521.0,1570.0
"Toronto, Ontario",60 to 64 years,1665.0,1786.0,1800.0,1785.0,1827.0,1882.0,1943.0
"Toronto, Ontario",65 to 69 years,1896.0,1966.0,2200.0,2321.0,2443.0,2569.0,2675.0
