Geography,Age group,2012
"Abbotsford-Mission, British Columbia",0 to 4 years,5.0
"Abbotsford-Mission, British Columbia",10 to 14 years,2.0
"Abbotsford-Mission, British Columbia",15 to 19 years,2.0
"Abbotsford-Mission, British Columbia",20 to 24 years,4.0
"Abbotsford-Mission, British Columbia",25 to 29 years,4.0
"Abbotsford-Mission, British Columbia",30 to 34 years,6.0
"Abbotsford-Mission, British Columbia",35 to 39 years,7.0
"Abbotsford-Mission, British Columbia",40 to 44 years,17.0
"Abbotsford-Mission, British Columbia",45 to 49 years,36.0
"Abbotsford-Mission, British Columbia",5 to 9 years,0.0
"Abbotsford-Mission, British Columbia",50 to 54 years,45.0
"Abbotsford-Mission, British Columbia",55 to 59 years,60.0
"Abbotsford-Mission, British Columbia",60 to 64 years,79.0
"Abbotsford-Mission, British Columbia",65 to 69 years,92.0
"Abbotsford-Mission, British Columbia",70 to 74 years,114.0
"Abbotsford-Mission, British Columbia",75 to 79 years,145.0
"Abbotsford-Mission, British Columbia",80 to 84 years,184.0
"Abbotsford-Mission, British Columbia",85 to 89 years,193.0
"Abbotsford-Mission, British Columbia",90 years and over,243.0
"Abbotsford-Mission, British Columbia",All ages,1238.0
"Barrie, Ontario",0 to 4 years,11.0
"Barrie, Ontario",10 to 14 years,0.0
"Barrie, Ontario",15 to 19 years,10.0
"Barrie, Ontario",20 to 24 years,7.0
"Barrie, Ontario",25 to 29 years,8.0
"Barrie, Ontario",30 to 34 years,13.0
"Barrie, Ontario",35 to 39 years,7.0
"Barrie, Ontario",40 to 44 years,17.0
"Barrie, Ontario",45 to 49 years,37.0
"Barrie, Ontario",5 to 9 years,1.0
"Barrie, Ontario",50 to 54 years,55.0
"Barrie, Ontario",55 to 59 years,51.0
"Barrie, Ontario",60 to 64 years,70.0
"Barrie, Ontario",65 to 69 years,104.0
"Barrie, Ontario",70 to 74 years,112.0
"Barrie, Ontario",75 to 79 years,174.0
"Barrie, Ontario",80 to 84 years,195.0
"Barrie, Ontario",85 to 89 years,214.0
"Barrie, Ontario",90 years and over,211.0
"Barrie, Ontario",All ages,1297.0
"Brantford, Ontario",0 to 4 years,7.0
"Brantford, Ontario",10 to 14 years,0.0
"Brantford, Ontario",15 to 19 years,8.0
"Brantford, Ontario",20 to 24 years,9.0
"Brantford, Ontario",25 to 29 years,10.0
"Brantford, Ontario",30 to 34 years,10.0
"Brantford, Ontario",35 to 39 years,8.0
"Brantford, Ontario",40 to 44 years,11.0
"Brantford, Ontario",45 to 49 years,32.0
"Brantford, Ontario",5 to 9 years,0.0
"Brantford, Ontario",50 to 54 years,55.0
"Brantford, Ontario",55 to 59 years,69.0
"Brantford, Ontario",60 to 64 years,88.0
"Brantford, Ontario",65 to 69 years,104.0
"Brantford, Ontario",70 to 74 years,133.0
"Brantford, Ontario",75 to 79 years,138.0
"Brantford, Ontario",80 to 84 years,192.0
"Brantford, Ontario",85 to 89 years,228.0
"Brantford, Ontario",90 years and over,196.0
"Brantford, Ontario",All ages,1298.0
"Calgary, Alberta",0 to 4 years,98.0
"Calgary, Alberta",10 to 14 years,5.0
"Calgary, Alberta",15 to 19 years,27.0
"Calgary, Alberta",20 to 24 years,35.0
"Calgary, Alberta",25 to 29 years,62.0
"Calgary, Alberta",30 to 34 years,66.0
"Calgary, Alberta",35 to 39 years,69.0
"Calgary, Alberta",40 to 44 years,105.0
"Calgary, Alberta",45 to 49 years,167.0
"Calgary, Alberta",5 to 9 years,9.0
"Calgary, Alberta",50 to 54 years,257.0
"Calgary, Alberta",55 to 59 years,335.0
"Calgary, Alberta",60 to 64 years,391.0
"Calgary, Alberta",65 to 69 years,469.0
"Calgary, Alberta",70 to 74 years,515.0
"Calgary, Alberta",75 to 79 years,658.0
"Calgary, Alberta",80 to 84 years,934.0
"Calgary, Alberta",85 to 89 years,923.0
"Calgary, Alberta",90 years and over,1006.0
"Calgary, Alberta",All ages,6131.0
"Edmonton, Alberta",0 to 4 years,98.0
"Edmonton, Alberta",10 to 14 years,9.0
"Edmonton, Alberta",15 to 19 years,25.0
"Edmonton, Alberta",20 to 24 years,60.0
"Edmonton, Alberta",25 to 29 years,64.0
"Edmonton, Alberta",30 to 34 years,67.0
"Edmonton, Alberta",35 to 39 years,63.0
"Edmonton, Alberta",40 to 44 years,116.0
"Edmonton, Alberta",45 to 49 years,203.0
"Edmonton, Alberta",5 to 9 years,6.0
"Edmonton, Alberta",50 to 54 years,316.0
"Edmonton, Alberta",55 to 59 years,386.0
"Edmonton, Alberta",60 to 64 years,485.0
"Edmonton, Alberta",65 to 69 years,547.0
"Edmonton, Alberta",70 to 74 years,660.0
"Edmonton, Alberta",75 to 79 years,806.0
"Edmonton, Alberta",80 to 84 years,1058.0
"Edmonton, Alberta",85 to 89 years,1143.0
"Edmonton, Alberta",90 years and over,1134.0
"Edmonton, Alberta",All ages,7246.0
"Greater Sudbury, Ontario",0 to 4 years,14.0
"Greater Sudbury, Ontario",10 to 14 years,2.0
"Greater Sudbury, Ontario",15 to 19 years,1.0
"Greater Sudbury, Ontario",20 to 24 years,11.0
"Greater Sudbury, Ontario",25 to 29 years,6.0
"Greater Sudbury, Ontario",30 to 34 years,15.0
"Greater Sudbury, Ontario",35 to 39 years,8.0
"Greater Sudbury, Ontario",40 to 44 years,21.0
"Greater Sudbury, Ontario",45 to 49 years,40.0
"Greater Sudbury, Ontario",5 to 9 years,0.0
"Greater Sudbury, Ontario",50 to 54 years,58.0
"Greater Sudbury, Ontario",55 to 59 years,81.0
"Greater Sudbury, Ontario",60 to 64 years,93.0
"Greater Sudbury, Ontario",65 to 69 years,134.0
"Greater Sudbury, Ontario",70 to 74 years,162.0
"Greater Sudbury, Ontario",75 to 79 years,205.0
"Greater Sudbury, Ontario",80 to 84 years,232.0
"Greater Sudbury, Ontario",85 to 89 years,195.0
"Greater Sudbury, Ontario",90 years and over,221.0
"Greater Sudbury, Ontario",All ages,1499.0
"Guelph, Ontario",0 to 4 years,12.0
"Guelph, Ontario",10 to 14 years,0.0
"Guelph, Ontario",15 to 19 years,4.0
"Guelph, Ontario",20 to 24 years,5.0
"Guelph, Ontario",25 to 29 years,7.0
"Guelph, Ontario",30 to 34 years,6.0
"Guelph, Ontario",35 to 39 years,6.0
"Guelph, Ontario",40 to 44 years,8.0
"Guelph, Ontario",45 to 49 years,22.0
"Guelph, Ontario",5 to 9 years,0.0
"Guelph, Ontario",50 to 54 years,31.0
"Guelph, Ontario",55 to 59 years,44.0
"Guelph, Ontario",60 to 64 years,53.0
"Guelph, Ontario",65 to 69 years,73.0
"Guelph, Ontario",70 to 74 years,93.0
"Guelph, Ontario",75 to 79 years,117.0
"Guelph, Ontario",80 to 84 years,159.0
"Guelph, Ontario",85 to 89 years,199.0
"Guelph, Ontario",90 years and over,187.0
"Guelph, Ontario",All ages,1026.0
"Halifax, Nova Scotia",0 to 4 years,23.0
"Halifax, Nova Scotia",10 to 14 years,0.0
"Halifax, Nova Scotia",15 to 19 years,7.0
"Halifax, Nova Scotia",20 to 24 years,16.0
"Halifax, Nova Scotia",25 to 29 years,13.0
"Halifax, Nova Scotia",30 to 34 years,20.0
"Halifax, Nova Scotia",35 to 39 years,19.0
"Halifax, Nova Scotia",40 to 44 years,29.0
"Halifax, Nova Scotia",45 to 49 years,76.0
"Halifax, Nova Scotia",5 to 9 years,2.0
