Geography,Age group,2011
"Abbotsford-Mission, British Columbia",0 to 4 years,9.0
"Abbotsford-Mission, British Columbia",10 to 14 years,1.0
"Abbotsford-Mission, British Columbia",15 to 19 years,10.0
"Abbotsford-Mission, British Columbia",20 to 24 years,8.0
"Abbotsford-Mission, British Columbia",25 to 29 years,6.0
"Abbotsford-Mission, British Columbia",30 to 34 years,7.0
"Abbotsford-Mission, British Columbia",35 to 39 years,15.0
"Abbotsford-Mission, British Columbia",40 to 44 years,16.0
"Abbotsford-Mission, British Columbia",45 to 49 years,35.0
"Abbotsford-Mission, British Columbia",5 to 9 years,1.0
"Abbotsford-Mission, British Columbia",50 to 54 years,40.0
"Abbotsford-Mission, British Columbia",55 to 59 years,42.0
"Abbotsford-Mission, British Columbia",60 to 64 years,70.0
"Abbotsford-Mission, British Columbia",65 to 69 years,67.0
"Abbotsford-Mission, British Columbia",70 to 74 years,109.0
"Abbotsford-Mission, British Columbia",75 to 79 years,117.0
"Abbotsford-Mission, British Columbia",80 to 84 years,191.0
"Abbotsford-Mission, British Columbia",85 to 89 years,219.0
"Abbotsford-Mission, British Columbia",90 years and over,240.0
"Abbotsford-Mission, British Columbia",All ages,1203.0
"Barrie, Ontario",0 to 4 years,9.0
"Barrie, Ontario",10 to 14 years,0.0
"Barrie, Ontario",15 to 19 years,7.0
"Barrie, Ontario",20 to 24 years,4.0
"Barrie, Ontario",25 to 29 years,5.0
"Barrie, Ontario",30 to 34 years,6.0
"Barrie, Ontario",35 to 39 years,11.0
"Barrie, Ontario",40 to 44 years,19.0
"Barrie, Ontario",45 to 49 years,41.0
"Barrie, Ontario",5 to 9 years,0.0
"Barrie, Ontario",50 to 54 years,47.0
"Barrie, Ontario",55 to 59 years,39.0
"Barrie, Ontario",60 to 64 years,78.0
"Barrie, Ontario",65 to 69 years,87.0
"Barrie, Ontario",70 to 74 years,124.0
"Barrie, Ontario",75 to 79 years,159.0
"Barrie, Ontario",80 to 84 years,201.0
"Barrie, Ontario",85 to 89 years,172.0
"Barrie, Ontario",90 years and over,167.0
"Barrie, Ontario",All ages,1176.0
"Brantford, Ontario",0 to 4 years,15.0
"Brantford, Ontario",10 to 14 years,0.0
"Brantford, Ontario",15 to 19 years,4.0
"Brantford, Ontario",20 to 24 years,5.0
"Brantford, Ontario",25 to 29 years,7.0
"Brantford, Ontario",30 to 34 years,7.0
"Brantford, Ontario",35 to 39 years,13.0
"Brantford, Ontario",40 to 44 years,6.0
"Brantford, Ontario",45 to 49 years,26.0
"Brantford, Ontario",5 to 9 years,0.0
"Brantford, Ontario",50 to 54 years,46.0
"Brantford, Ontario",55 to 59 years,60.0
"Brantford, Ontario",60 to 64 years,92.0
"Brantford, Ontario",65 to 69 years,95.0
"Brantford, Ontario",70 to 74 years,116.0
"Brantford, Ontario",75 to 79 years,179.0
"Brantford, Ontario",80 to 84 years,178.0
"Brantford, Ontario",85 to 89 years,192.0
"Brantford, Ontario",90 years and over,161.0
"Brantford, Ontario",All ages,1202.0
"Calgary, Alberta",0 to 4 years,73.0
"Calgary, Alberta",10 to 14 years,11.0
"Calgary, Alberta",15 to 19 years,30.0
"Calgary, Alberta",20 to 24 years,46.0
"Calgary, Alberta",25 to 29 years,63.0
"Calgary, Alberta",30 to 34 years,63.0
"Calgary, Alberta",35 to 39 years,64.0
"Calgary, Alberta",40 to 44 years,107.0
"Calgary, Alberta",45 to 49 years,189.0
"Calgary, Alberta",5 to 9 years,8.0
"Calgary, Alberta",50 to 54 years,276.0
"Calgary, Alberta",55 to 59 years,300.0
"Calgary, Alberta",60 to 64 years,357.0
"Calgary, Alberta",65 to 69 years,355.0
"Calgary, Alberta",70 to 74 years,474.0
"Calgary, Alberta",75 to 79 years,624.0
"Calgary, Alberta",80 to 84 years,831.0
"Calgary, Alberta",85 to 89 years,900.0
"Calgary, Alberta",90 years and over,863.0
"Calgary, Alberta",All ages,5634.0
"Edmonton, Alberta",0 to 4 years,85.0
"Edmonton, Alberta",10 to 14 years,7.0
"Edmonton, Alberta",15 to 19 years,36.0
"Edmonton, Alberta",20 to 24 years,61.0
"Edmonton, Alberta",25 to 29 years,69.0
"Edmonton, Alberta",30 to 34 years,57.0
"Edmonton, Alberta",35 to 39 years,55.0
"Edmonton, Alberta",40 to 44 years,102.0
"Edmonton, Alberta",45 to 49 years,205.0
"Edmonton, Alberta",5 to 9 years,3.0
"Edmonton, Alberta",50 to 54 years,275.0
